,expected,output,output disposal,probability,url
Electric Shaver,Regular Trash,Electric Shaver,Regular Trash,0.9952747821807861,https://www.trustedreviews.com/wp-content/uploads/sites/54/2023/02/20220826_131127.jpg
Electric Toothbrush,Regular Trash,Electric Toothbrush,Regular Trash,0.9994557499885559,https://upload.wikimedia.org/wikipedia/commons/1/17/Oral-B_Genius_X_Electric_Toothbrush_-_49001640702.jpg
Electric Typewriters,Electronics Recycling,Electric Typewriters,Electronics Recycling,0.7916424870491028,https://upload.wikimedia.org/wikipedia/commons/3/30/Olivetti_pt505-electronic_typewriter-01.JPG
Electric Wheelchairs,Private Disposal,Electric Wheelchairs,Private Disposal,0.6277792453765869,https://cdn.pixabay.com/photo/2020/12/18/15/43/silla-de-ruedas-5842366_1280.jpg
Electronic Gaming Equipment,Electronics Recycling,Electronic Gaming Equipment,Electronics Recycling,0.93817138671875,https://c.pxhere.com/photos/cb/8c/video_games_xbox_one_pad_play_technology_video_joystick-663316.jpg!d
Electronic Amplifier,Regular Trash,Electronic Amplifier,Regular Trash,0.9157782793045044,https://pixnio.com/free-images/2021/09/25/2021-09-25-09-50-14.jpg
Exercise Equipment,Private Disposal,Exercise Equipment,Private Disposal,0.9945301413536072,https://p1.pxfuel.com/preview/339/488/34/fitness-studio-fitness-sport-train-gym.jpg
Fax Machines,Electronics Recycling,Fax Machines,Electronics Recycling,0.6282790303230286,https://upload.wikimedia.org/wikipedia/commons/6/62/Panasonic_KX-F90.jpg
Flat Screen Monitors,Appointment Collection Item,Flat Screen Monitors,Appointment Collection Item,0.721157431602478,https://freesvg.org/img/molumen_LCD_Monitor.png
Flat Screen Televisions,Appointment Collection Item,TV,Appointment Collection Item,0.5455513596534729,https://creazilla-store.fra1.digitaloceanspaces.com/three_d_models/7873810/flat-screen-tv-3d-model-176278-md.jpeg
Flashlights,Regular Trash,Flashlights,Regular Trash,0.9906428456306458,https://upload.wikimedia.org/wikipedia/commons/1/1c/Flashlight_%28Wuzur%29.jpg
Floppy Disks,Electronics Recycling,Floppy Disks,Electronics Recycling,0.896329402923584,https://upload.wikimedia.org/wikipedia/commons/9/96/Back_of_floppy_disk_with_transparent_case.jpg
Fluorescent Light Bulbs,Hazardous Waste,Fluorescent Light Bulbs,Hazardous Waste,0.827985405921936,https://upload.wikimedia.org/wikipedia/commons/f/f9/Energiesparlampe_01_retouched.jpg
Foosball Table,Regular Trash - Bulky Items,Foosball Table,Regular Trash - Bulky Items,0.9999301433563232,https://upload.wikimedia.org/wikipedia/commons/6/62/FAS_Foosball_table_1.jpg
Garage Door Opener,Electronics Recycling,Remotes,Electronics Recycling,0.8148444294929504,https://upload.wikimedia.org/wikipedia/commons/1/14/Multi_Frequency_garage_door_remote_control_duplicator_Creasol_Multi.png
Hair Dryer,Electronics Recycling,Hair Dryer,Electronics Recycling,0.9998036026954651,https://upload.wikimedia.org/wikipedia/commons/1/11/Braun_hair_dryer.jpg
Hair Straighteners,Electronics Recycling,Hair Straighteners,Electronics Recycling,0.9301990866661072,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Hair_straightener_TTH2510_by_Tescom_%282015-09-19%29.JPG/640px-Hair_straightener_TTH2510_by_Tescom_%282015-09-19%29.JPG
Halogen Light Bulbs,Regular Trash,Halogen Light Bulbs,Regular Trash,0.6982167363166809,https://p1.pxfuel.com/preview/531/1018/551/light-bulb-isolated-transparent-lamp.jpg
Hard Drive,Electronics Recycling,Hard Drive,Electronics Recycling,0.983340322971344,https://upload.wikimedia.org/wikipedia/commons/c/ce/Inside_of_hard_disk_drive.jpg
Headphones,Electronics Recycling,Headphones,Electronics Recycling,0.8916771411895752,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/05/Sony-WH-1000XM5-red-and-blue.jpg
Headsets,Electronics Recycling,Headsets,Electronics Recycling,0.9239534735679626,https://www.trustedreviews.com/wp-content/uploads/sites/54/2021/11/Razer-Kraken-V3-HyperSense-24-scaled.jpg
Humidifier,Regular Trash,Humidifier,Regular Trash,0.871997594833374,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/06/Duux-Tag-2-Ultrasonic-Humidifier-1.jpg
iPod,Regular Trash,iPod,Regular Trash,0.9963071346282959,https://www.trustedreviews.com/wp-content/uploads/sites/54/2015/06/ipod-min-3.jpg
Keyboard,Electronics Recycling,Keyboard,Electronics Recycling,0.885033130645752,https://www.trustedreviews.com/wp-content/uploads/sites/54/2023/05/IMG_20230515_123454-scaled.jpg
Laptop,Appointment Collection Item,Laptop,Appointment Collection Item,0.9486267566680908,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Apple-laptop-notebook-notes_%2823699694403%29.jpg/1599px-Apple-laptop-notebook-notes_%2823699694403%29.jpg?20160916050343
Lamps,Regular Trash,Lamps,Regular Trash,0.7823106050491333,https://cb.scene7.com/is/image/Crate/WestonMdCntryTableLampSSS23/$web_pdp_main_carousel_zoom_med$/221013092920/weston-black-mid-century-modern-table-lamp.jpg
Lawn Mower (Electric),Regular Trash - Bulky Items,Lawn Mower (Electric),Regular Trash - Bulky Items,0.8734368681907654,https://www.thespruce.com/thmb/y4s_Tuw7QIysnO950HJevOy32no=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3SP4175254-4-48f1ab17532649d09719b00202f53b1a-e333df1f505b4435a6ab5499e840a8b5.jpg
Lawn Mower (Gas),Private Disposal,Lawn Mower (Gas),Private Disposal,0.8361058235168457,https://p1.pxfuel.com/preview/739/249/293/lawn-mower-gardening-mow-cut-grass.jpg
LED Light Bulbs,Regular Trash,LED Light Bulbs,Regular Trash,0.6788392066955566,https://upload.wikimedia.org/wikipedia/commons/e/e1/Led-lampa.jpg
Light Fixtures,Regular Trash,Light Fixtures,Regular Trash,0.7814843654632568,https://c.pxhere.com/photos/dc/72/lighting_light_fixtures_ceilings_etc_lights-834600.jpg!d
Microwave Oven,Regular Trash,Microwave Oven,Regular Trash,0.9880952835083008,https://www.trustedreviews.com/wp-content/uploads/sites/54/2023/04/Samsung-Easy-View-Convection-Oven-with-Hotblast-Technology-MC28M6075CS-1.jpg
Modem,Electronics Recycling,Router,Electronics Recycling,0.5332799553871155,https://upload.wikimedia.org/wikipedia/commons/1/19/ARRIS_CM820B_DOCSIS_Cable_Modem.jpg
Mouse (computer),Electronics Recycling,Mouse (computer),Electronics Recycling,0.9999188184738159,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Wheel_mouse.JPG/640px-Wheel_mouse.JPG
Musical Instruments (except pianos and organs),Regular Trash,Musical Instruments (except pianos and organs),Regular Trash,0.8607467412948608,https://c0.wallpaperflare.com/preview/318/720/922/music-trumpet-notes-instruments.jpg
Pagers,Electronics Recycling,Pagers,Electronics Recycling,0.9112648963928223,https://upload.wikimedia.org/wikipedia/commons/7/72/1990s_CPS_blue_pager.jpg
PCBs,Private Disposal,PCBs,Private Disposal,0.9471834301948547,https://p1.pxfuel.com/preview/20/623/670/pcb-printed-circuit-board-ic-integrated.jpg
Palm Pilot,Regular Trash,Palm Pilot,Regular Trash,0.9999841451644897,https://upload.wikimedia.org/wikipedia/commons/f/ff/Palm-IMG_7025.jpg
Paper Shredder,Electronics Recycling,Paper Shredder,Electronics Recycling,0.4348246157169342,https://upload.wikimedia.org/wikipedia/commons/7/7d/Small_paper_shredder.JPG
Personal Digital Assistant,Electronics Recycling,Tablets,Electronics Recycling,0.34795573353767395,https://upload.wikimedia.org/wikipedia/commons/f/ff/Palmone_pdas.jpg
Photocopiers,Electronics Recycling,Photocopiers,Electronics Recycling,0.5929023027420044,https://upload.wikimedia.org/wikipedia/commons/a/a7/IOA_photocopiers.jpg
Power Strips,Regular Trash,Power Strips,Regular Trash,0.9191036224365234,https://upload.wikimedia.org/wikipedia/commons/6/67/Power_strip.JPG
Printer,Electronics Recycling,Inkjet Cartridges,Regular Trash,0.41228997707366943,https://c2.peakpx.com/wallpaper/30/627/621/machine-printer-printing-ink-color-wallpaper-preview.jpg
Radios,Electronics Recycling,Stereos,Electronics Recycling,0.49869397282600403,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/04/Roberts-Revival-Petite-front-scaled.jpg
Receivers,Regular Trash,Router,Electronics Recycling,0.8410307168960571,https://upload.wikimedia.org/wikipedia/commons/9/92/AERO_Friedrichshafen_2018%2C_Friedrichshafen_%281X7A4803%29.jpg
Remotes,Electronics Recycling,Remotes,Electronics Recycling,0.9992192983627319,https://i.sixfoot6.org/images/misc/20091228-0852-940px-my-remotes.jpg
Satellite Dishes,Electronics Recycling,Satellite Dishes,Electronics Recycling,0.9893342852592468,https://upload.wikimedia.org/wikipedia/commons/6/62/SatelliteDishes-5375.jpg
Scanners,Electronics Recycling,Electronic Gaming Equipment,Electronics Recycling,0.88646399974823,https://upload.wikimedia.org/wikipedia/commons/2/26/VIUscan_handheld_3D_scanner_in_use.jpg
Scooter Batteries,Hazardous Waste,Stroller,Regular Trash - Bulky Items,0.38249045610427856,https://upload.wikimedia.org/wikipedia/commons/6/6a/Batteries_of_Gogoro_smart_scooter_in_Berlin_%2829370918101%29.jpg
Servers,Private Disposal,Servers,Private Disposal,0.9697863459587097,https://upload.wikimedia.org/wikipedia/commons/2/27/Wikimedia_Foundation_Servers-8055_08.jpg
Sewing Machine,Electronics Recycling,Sewing Machine,Electronics Recycling,0.9969636797904968,https://upload.wikimedia.org/wikipedia/commons/1/10/PAX_sewing_machine_pic2.JPG
Small Appliances,Electronics Recycling,Small Appliances,Electronics Recycling,0.9913991689682007,https://upload.wikimedia.org/wikipedia/commons/6/67/Breville.jpg
Smoke Detector,Electronics Recycling,Smoke Detector,Electronics Recycling,0.8375828862190247,https://upload.wikimedia.org/wikipedia/commons/d/d9/Smoke_detector.JPG
Space Heater,Regular Trash - Bulky Items,Space Heater,Regular Trash - Bulky Items,0.9614185690879822,https://www.trustedreviews.com/wp-content/uploads/sites/54/2023/01/Dreo-Solaris-Slim-H3-Space-Heater-hero.jpg
Speakers,Regular Trash,Computer Tower,Regular Trash,0.44108065962791443,https://upload.wikimedia.org/wikipedia/commons/3/33/Bose_speaker_%281Y7A1489%29.jpg
String Lights,Regular Trash,String Lights,Regular Trash,0.9993964433670044,https://c1.wallpaperflare.com/preview/3/804/13/interior-design-ceiling-lights.jpg
Tablets,Electronics Recycling,Tablets,Electronics Recycling,0.9736734628677368,https://upload.wikimedia.org/wikipedia/commons/5/57/Nabi_SE_and_American_Girl_tablets.jpg
Tape Recorder,Regular Trash,Tape Recorder,Regular Trash,0.8922099471092224,https://upload.wikimedia.org/wikipedia/commons/c/cb/Vintage_Electra_Portable_4_Transistor_Reel-To-Reel_Tape_Recorder%2C_Model_TP-500%2C_Made_In_Japan%2C_Circa_1960s_%2815706532371%29.jpg
Telephones,Electronics Recycling,Telephones,Electronics Recycling,0.6770751476287842,https://upload.wikimedia.org/wikipedia/commons/a/a6/Telefon_BW_2012-02-18_13-44-32.JPG
Thermostat,Hazardous Waste,Thermostat,Hazardous Waste,0.993654727935791,https://upload.wikimedia.org/wikipedia/commons/0/05/Nest_Diamond_Thermostat.jpg
Treadmill,Private Disposal,Treadmill,Private Disposal,0.9049428701400757,https://upload.wikimedia.org/wikipedia/commons/6/62/Treadmill-gym.jpg
Turntable,Electronics Recycling,Turntable,Electronics Recycling,0.9732058048248291,https://www.trustedreviews.com/wp-content/uploads/sites/54/2021/09/Roksan-Attessa.jpg
TV,Appointment Collection Item,Flat Screen Televisions,Appointment Collection Item,0.5649167895317078,https://www.trustedreviews.com/wp-content/uploads/sites/54/2023/04/Philips-55OLED907-lifestyle.jpg
Typewriters,Regular Trash,Electric Typewriters,Electronics Recycling,0.6095216870307922,https://cdn4.explainthatstuff.com/og-large-typewriter.jpg
VCRs,Electronics Recycling,VCRs,Electronics Recycling,0.5889228582382202,https://upload.wikimedia.org/wikipedia/commons/1/1d/Philips_VCR_system_recorder_%286498642683%29.jpg
VHS Player,Electronics Recycling,DVD Player,Electronics Recycling,0.5875809788703918,https://upload.wikimedia.org/wikipedia/commons/9/95/Front_of_LG_VHS_Player_%26_Video-Cassete_Recorder.JPG
VHS Tapes,Regular Trash,VHS Tapes,Regular Trash,0.5115224123001099,https://upload.wikimedia.org/wikipedia/commons/f/f7/VHS_cassette_tape_06.JPG
Videotapes,Regular Trash,Videotapes,Regular Trash,0.717171311378479,https://p1.pxfuel.com/preview/755/405/176/video-tapes-movie-old-retro-cassette.jpg
Water Cooler,Appointment Collection Item,Water Cooler,Appointment Collection Item,0.9989038705825806,https://upload.wikimedia.org/wikipedia/commons/1/1e/Watercooler_%282%29.jpg
Water Heater,Private Disposal,Water Heater,Private Disposal,0.9907684922218323,https://upload.wikimedia.org/wikipedia/commons/a/a9/Hot_water_heater_with_pipe.jpg
Washing Machine,Regular Trash - Bulky Items,Washing Machine,Regular Trash - Bulky Items,0.8174886107444763,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/10/Hotpoint-Anti-Stain-NDB-9635-W-UK-1.jpg
