,expected,output,output disposal,probability,url
Carpet,Private Disposal,Area Rug,Regular Trash,0.9645105600357056,"https://static.wixstatic.com/media/b8e6f9_18a9c84ee5954d2eb87cdd88fb9ba256~mv2_d_2000_2000_s_2.jpg/v1/fill/w_640,h_724,al_b,q_85,usm_0.66_1.00_0.01,enc_auto/b8e6f9_18a9c84ee5954d2eb87cdd88fb9ba256~mv2_d_2000_2000_s_2.jpg"
Carpeting,Private Disposal,Carpeting,Private Disposal,0.6564189791679382,https://s3-media0.fl.yelpcdn.com/bphoto/EV9JMV6ocbiBXSffkd-c9w/348s.jpg
Carpeting,Private Disposal,Carpeting,Private Disposal,0.896755039691925,https://upload.wikimedia.org/wikipedia/commons/a/a5/Swatches_of_carpet_1.jpg
Clothing,Clothing and Textiles Drop-off,Clothing,Clothing and Textiles Drop-off,0.48961398005485535,https://img.rawpixel.com/private/static/images/website/2022-05/upwk61843344-wikimedia-image-kowcf887.jpg?w=1200&h=1200&dpr=1&fit=clip&crop=default&fm=jpg&q=75&vib=3&con=3&usm=15&cs=srgb&bg=F4F4F3&ixlib=js-2.2.1&s=8a1c8e867d58e81edb29de5b0b4c037c
Clothing,Clothing and Textiles Drop-off,Clothing,Clothing and Textiles Drop-off,0.8954019546508789,https://c1.wallpaperflare.com/preview/191/476/40/fashion-clothing-shop-clothes.jpg
Clothing,Clothing and Textiles Drop-off,Clothing,Clothing and Textiles Drop-off,0.8893824219703674,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/HK_TKO_%E5%B0%87%E8%BB%8D%E6%BE%B3_Tseung_Kwan_O_PopCorn_mall_shop_TopFeeling_Clothing_July_2022_Px3_06.jpg/800px-HK_TKO_%E5%B0%87%E8%BB%8D%E6%BE%B3_Tseung_Kwan_O_PopCorn_mall_shop_TopFeeling_Clothing_July_2022_Px3_06.jpg?20220714070837
Couch,Regular Trash - Bulky Items,Couch,Regular Trash - Bulky Items,0.5249001383781433,https://i2.pickpik.com/photos/58/31/823/sofa-colored-upholstery-convenient-preview.jpg
Couch,Regular Trash - Bulky Items,Couch,Regular Trash - Bulky Items,0.7559523582458496,https://i2.pickpik.com/photos/630/461/236/couch-seat-relax-welcome-preview.jpg
Couch,Regular Trash - Bulky Items,Sofas,Regular Trash,0.7352330684661865,https://c.pxhere.com/images/bf/f4/f2b495020eeb069121427aa12208-1587605.jpg!d
Curtain,Regular Trash,Curtain,Regular Trash,0.9028975367546082,https://upload.wikimedia.org/wikipedia/commons/d/de/Blue-curtains.jpg
Curtain,Regular Trash,Curtain,Regular Trash,0.98064124584198,https://images.pexels.com/photos/462197/pexels-photo-462197.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Curtain,Regular Trash,Curtain,Regular Trash,0.9572787880897522,https://images.pexels.com/photos/910458/pexels-photo-910458.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Cushion,Clothing and Textiles Drop-off,Headboard,Regular Trash - Bulky Items,0.3742518424987793,https://images.pexels.com/photos/6207456/pexels-photo-6207456.jpeg
Cushion,Clothing and Textiles Drop-off,Pillows,Regular Trash,0.9338926076889038,https://www.publicdomainpictures.net/pictures/280000/nahled/cushions-and-pillows-on-a-hotel-bed.jpg
Cushion,Clothing and Textiles Drop-off,Pillows,Regular Trash,0.4446371793746948,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Fget.pxhere.com%2Fphoto%2Fwhite-retro-round-home-orange-pattern-sleeping-two-furniture-room-sofa-pillow-cushion-throw-textile-background-design-bed-sleepy-pair-organ-patterns-decorations-comfortable-designs-pillows-bed-sheet-fashion-accessory-decors-1137622.jpg&f=1&nofb=1&ipt=0d63b81e7496225b2d4484bfb2a1bb05d8a37a963827e4ed97d07c943a609b8c&ipo=images
Dish Cloths,Regular Trash,Dish Cloths,Regular Trash,0.992957353591919,https://upload.wikimedia.org/wikipedia/commons/9/9d/Dishcloths.jpg
Dish Cloths,Regular Trash,Dish Cloths,Regular Trash,0.9979530572891235,https://live.staticflickr.com/7539/15626399719_4504698d58_z.jpg
Dish Towels,Regular Trash,Towels,Regular Trash,0.9946920275688171,https://i2.pickpik.com/photos/206/424/910/towels-linen-house-bathroom-preview.jpg
Dish Towels,Regular Trash,Dish Towels,Regular Trash,0.8086833357810974,https://p1.pxfuel.com/preview/797/479/785/dish-towels-cotton-dish-kitchen-towels-colorful-cotton-dish.jpg
Dish Towels,Regular Trash,Towels,Regular Trash,0.979223370552063,https://i2.pickpik.com/photos/843/351/605/towels-bath-towels-bath-preview.jpg
Door Mats,Regular Trash,Door Mats,Regular Trash,0.9996426105499268,https://images.pexels.com/photos/2949992/pexels-photo-2949992.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2
Door Mats,Regular Trash,Door Mats,Regular Trash,0.9786978363990784,https://upload.wikimedia.org/wikipedia/commons/6/61/Welcome-Mat.JPG
Door Mats,Regular Trash,Door Mats,Regular Trash,0.9996065497398376,https://live.staticflickr.com/65535/49059494208_4f5873bba1_b.jpg
Fabric Scrap,Regular Trash,Fabric Scrap,Regular Trash,0.7804227471351624,https://pixnio.com/free-images/2017/03/18/2017-03-18-06-31-57.jpg
Fabric Scrap,Regular Trash,Ribbons,Regular Trash,0.6420711874961853,https://www.ruralmessenger.com/wp-content/uploads/2015/07/crafts.jpg
Fur Coats,Regular Trash,Fur Coats,Regular Trash,0.9799590110778809,https://p1.pxfuel.com/preview/1013/897/272/people-woman-fur-jacket-model-fashion.jpg
Fur Coats,Regular Trash,Fur Coats,Regular Trash,0.9883721470832825,https://p1.pxfuel.com/preview/118/840/4/winter-fur-coat-cold-coldly-frost-woman.jpg
Fur Coats,Regular Trash,Fur Coats,Regular Trash,0.9651667475700378,https://images.pexels.com/photos/2755612/pexels-photo-2755612.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Furniture,Regular Trash - Bulky Items,Sofas,Regular Trash,0.9089317321777344,https://bostonfurnituredesign.com/wp-content/uploads/2022/11/shutterstock_1702590352-scaled-e1669214655701.jpg
Furniture,Regular Trash - Bulky Items,Office Furniture,Regular Trash - Bulky Items,0.46571648120880127,https://cdn10.bostonmagazine.com/wp-content/uploads/sites/2/2018/01/lekker-home.jpg
Furniture,Regular Trash - Bulky Items,Sofas,Regular Trash,0.5229752063751221,"https://rnb.scene7.com/is/image/roomandboard/MHH_Liv_ES1021_0523?size=900,900&scl=1"
Futon,Regular Trash - Bulky Items,Sheets,Regular Trash,0.8786885142326355,https://upload.wikimedia.org/wikipedia/commons/1/12/Futons_in_a_Ryokan_-_2.jpg
Futon,Regular Trash - Bulky Items,Futon,Regular Trash - Bulky Items,0.8582017421722412,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Futon.jpg/800px-Futon.jpg?20110308230044
Futon,Regular Trash - Bulky Items,Futon,Regular Trash - Bulky Items,0.6778571009635925,https://live.staticflickr.com/13/17730018_8729bb53d2_b.jpg
Hat,Clothing and Textiles Drop-off,Vintage Accessories,Regular Trash,0.6317591667175293,https://i2.pickpik.com/photos/17/175/685/hat-hatstand-sale-hats-preview.jpg
Hat,Clothing and Textiles Drop-off,Vintage Accessories,Regular Trash,0.2817889451980591,https://c0.wallpaperflare.com/preview/131/136/60/hat-clothing-headwear-straw-hat.jpg
Hat,Clothing and Textiles Drop-off,Shoes,Regular Trash,0.13823285698890686,https://live.staticflickr.com/82/233288347_41b94ec7ec_b.jpg
Ironing Board,Regular Trash,Ironing Board,Regular Trash,0.9931291341781616,https://4.bp.blogspot.com/-ut2-5VPq0TY/TpSaVe2Uj6I/AAAAAAAAALw/jvA80LG-BEQ/s1600/08-02.jpg
Ironing Board,Regular Trash,Ironing Board,Regular Trash,0.9924968481063843,https://live.staticflickr.com/39/87569448_1ef46f4410_b.jpg
Ironing Board,Regular Trash,Ironing Board,Regular Trash,0.999221682548523,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Planche_%C3%A0_repasser.JPG/800px-Planche_%C3%A0_repasser.JPG?20080227094517
Lamp Shades,Regular Trash,Lamp Shades,Regular Trash,0.49964073300361633,https://c1.wallpaperflare.com/preview/283/233/115/night-table-lamp-light-bedside-table-lighting.jpg
Lamp Shades,Regular Trash,Lamp Shades,Regular Trash,0.9899270534515381,https://c1.wallpaperflare.com/preview/329/144/881/lamp-shades-fabric-shade-lamp.jpg
Lamp Shades,Regular Trash,Lamp Shades,Regular Trash,0.9748082160949707,https://c1.wallpaperflare.com/preview/30/215/772/lamp-light-cozy-room.jpg
Linen,Regular Trash,Linen,Regular Trash,0.9981712102890015,"https://m.media-amazon.com/images/I/71HVc+s3GpL._AC_UF1000,1000_QL80_.jpg"
Linen,Regular Trash,Linen,Regular Trash,0.9754554033279419,https://images.pexels.com/photos/7794355/pexels-photo-7794355.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Luggage,Regular Trash,Luggage,Regular Trash,0.9999058246612549,https://upload.wikimedia.org/wikipedia/commons/2/26/Luggage_awaiting_loading_at_airport_IMG_3140.JPG
Luggage,Regular Trash,Luggage,Regular Trash,0.9993879795074463,https://live.staticflickr.com/65535/50783646912_0b02812d8f_b.jpg
Luggage,Regular Trash,Luggage,Regular Trash,0.9998495578765869,https://i1.pickpik.com/photos/826/633/309/luggage-suitcases-baggage-bags-preview.jpg
Mattresses,Curbside Mattress Recycling ,Styrofoam Sheets,Regular Trash,0.3300822675228119,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/11/Simba-Simbatex-Foam-Mattress-1.jpg
Mattresses,Curbside Mattress Recycling ,Mattresses,Curbside Mattress Recycling ,0.9898215532302856,https://live.staticflickr.com/4132/4995130797_ba79161ae6.jpg
Mattresses,Curbside Mattress Recycling ,Mattresses,Curbside Mattress Recycling ,0.9828038215637207,https://live.staticflickr.com/4831/44930220265_ff5ebf7e6d_b.jpg
Rags,Regular Trash,Torn Clothes,Clothing and Textiles Drop-off,0.6292510032653809,https://www.publicdomainpictures.net/pictures/260000/nahled/rags-background.jpg
Rags,Regular Trash,Towels,Regular Trash,0.4868420660495758,https://p0.pxfuel.com/preview/188/384/957/fruhjahrsputz-clothes-line-cleaning-rags-blue.jpg
String,Regular Trash,Twine,Regular Trash,0.7005696892738342,https://c.pxhere.com/photos/90/64/ball_jute_rope_string_macro-593290.jpg!d
String,Regular Trash,Twine,Regular Trash,0.882304847240448,https://p1.pxfuel.com/preview/241/514/406/rope-spindle-string-spool.jpg
String,Regular Trash,Twine,Regular Trash,0.9695611596107483,https://cdn.stocksnap.io/img-thumbs/960w/ball-string_CJXQWBJKPX.jpg
Table Umbrella,Regular Trash - Bulky Items,Table Umbrella,Regular Trash - Bulky Items,0.9543561339378357,https://upload.wikimedia.org/wikipedia/commons/1/14/HK_Disney%27s_Hollywood_Hotel_outdoor_sidewalk_cafe_Umbrella.JPG
Table Umbrella,Regular Trash - Bulky Items,Table Umbrella,Regular Trash - Bulky Items,0.8315767049789429,https://p1.pxfuel.com/preview/758/703/753/screen-table-chair-seating-area.jpg
Table Umbrella,Regular Trash - Bulky Items,Patio Furniture (Plastic),Regular Trash - Bulky Items,0.526232898235321,https://live.staticflickr.com/1763/42721228874_d07a72537e_b.jpg
Textiles,Regular Trash,Textiles,Regular Trash,0.9929819107055664,https://www.worldhistory.org/uploads/images/10187.jpg
Textiles,Regular Trash,Textiles,Regular Trash,0.9430375099182129,https://live.staticflickr.com/4470/26245611939_c9f5a5fc33_b.jpg
Torn Clothes,Clothing and Textiles Drop-off,Torn Clothes,Clothing and Textiles Drop-off,0.9273557662963867,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/upwk61750168-wikimedia-image.jpg?w=1200&h=1200&dpr=1&fit=clip&crop=default&fm=jpg&q=75&vib=3&con=3&usm=15&cs=srgb&bg=F4F4F3&ixlib=js-2.2.1&s=ffaf024e6914c942aceee64e1a77a870
Torn Clothes,Clothing and Textiles Drop-off,Torn Clothes,Clothing and Textiles Drop-off,0.8881366848945618,https://images.pexels.com/photos/1427479/pexels-photo-1427479.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1
Twine,Regular Trash,Twine,Regular Trash,0.675008237361908,https://upload.wikimedia.org/wikipedia/commons/d/d8/Ball-of-Hemp-Twine_31614-480x360.jpg
Twine,Regular Trash,Twine,Regular Trash,0.9297201037406921,https://live.staticflickr.com/8793/28953672726_ba645625be_b.jpg
Twine,Regular Trash,Twine,Regular Trash,0.988084614276886,https://www.publicdomainpictures.net/pictures/90000/nahled/twine-on-a-spool.jpg
Umbrella,Regular Trash,Umbrella,Regular Trash,0.9543360471725464,https://cdn.pixabay.com/photo/2023/06/20/10/23/umbrella-8076667_1280.jpg
Umbrella,Regular Trash,Umbrella,Regular Trash,0.8121320605278015,https://p1.pxfuel.com/preview/106/325/111/screen-umbrella-yellow-autumn-colorful-tree.jpg
Umbrella,Regular Trash,Umbrella,Regular Trash,0.9530057311058044,https://p1.pxfuel.com/preview/457/574/453/umbrella-parasol-colors-rain-decoration.jpg
Window Shades,Clothing and Textiles Drop-off,Blinds,Regular Trash,0.9077526926994324,https://images.pexels.com/photos/851238/pexels-photo-851238.jpeg
Window Shades,Clothing and Textiles Drop-off,Blinds,Regular Trash,0.9598862528800964,https://c0.wallpaperflare.com/preview/332/177/146/close-view-of-white-window-blinds.jpg
Window Shades,Clothing and Textiles Drop-off,Blinds,Regular Trash,0.8079379200935364,https://c0.wallpaperflare.com/preview/565/879/606/scenery-of-sunset.jpg
