,expected,output,output disposal,probability,url
"Crates (wooden, plastic)",Private Disposal,"Crates (wooden, plastic)",Private Disposal,0.5761702060699463,https://www.publicdomainpictures.net/pictures/290000/nahled/wooden-crates-1551165078iXs.jpg
"Crates (wooden, plastic)",Private Disposal,"Crates (wooden, plastic)",Private Disposal,0.6607459783554077,https://www.publicdomainpictures.net/pictures/300000/nahled/old-wooden-crate.jpg
Cork,Regular Trash,Wine Corks (cork),Regular Trash,0.5904330611228943,https://p1.pxfuel.com/preview/366/480/960/cork-wine-mass-alcohol-wealth-drink.jpg
Cotton Swab (with cardboard or wooden stick),Regular Trash,Cotton Swab (with cardboard or wooden stick),Regular Trash,0.5543556213378906,https://www.advancedentandallergy.com/wp-content/uploads/2020/12/q-tips.jpg
Crib,Regular Trash - Bulky Items,Crib,Regular Trash - Bulky Items,0.9835118651390076,https://p1.pxfuel.com/preview/765/322/571/crib-baby-bed-baby-cot-cot.jpg
Crib,Regular Trash - Bulky Items,Crib,Regular Trash - Bulky Items,0.9863800406455994,https://upload.wikimedia.org/wikipedia/commons/3/38/Baby_Crib_%2849935766018%29.jpg
"Cutting Board (wood, plastic)",Regular Trash,"Cutting Board (wood, plastic)",Regular Trash,0.9625167846679688,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/px1161382-image-kwvw8mal.jpg?w=800&dpr=1&fit=default&crop=default&q=65&vib=3&con=3&usm=15&bg=F4F4F3&ixlib=js-2.2.1&s=a80399b7f4b3b05974f0c17cfbe0e6cc
"Cutting Board (wood, plastic)",Regular Trash,"Cutting Board (wood, plastic)",Regular Trash,0.7383865118026733,https://upload.wikimedia.org/wikipedia/commons/0/00/%D4%BF%D5%BF%D6%80%D5%A1%D5%BF%D5%A5%D5%AC%D5%B8%D6%82_%D5%BF%D5%A1%D5%AD%D5%BF%D5%A1%D5%AF.JPG
Desk,Regular Trash - Bulky Items,Desk,Regular Trash - Bulky Items,0.6409408450126648,https://p1.pxfuel.com/preview/185/461/172/classroom-desk-school.jpg
Desk,Regular Trash - Bulky Items,Desk,Regular Trash - Bulky Items,0.6409408450126648,https://p1.pxfuel.com/preview/185/461/172/classroom-desk-school.jpg
Dresser,Regular Trash - Bulky Items,Dresser,Regular Trash - Bulky Items,0.9421811103820801,https://www.publicdomainpictures.net/pictures/30000/nahled/cassettone.jpg
Dresser,Regular Trash - Bulky Items,Dresser,Regular Trash - Bulky Items,0.9292139410972595,https://live.staticflickr.com/11/12727087_2b148b0b38_n.jpg
File Cabinets,Regular Trash - Bulky Items,File Cabinets,Regular Trash - Bulky Items,0.512928307056427,https://upload.wikimedia.org/wikipedia/commons/a/a1/Wooden_file_cabinet.JPG
File Cabinets,Regular Trash - Bulky Items,File Cabinets,Regular Trash - Bulky Items,0.9541974067687988,https://upload.wikimedia.org/wikipedia/commons/d/da/UNOG_Library_Filing_Cabinet.JPG
Fireplace Ashes,Regular Trash,Fireplace Ashes,Regular Trash,0.7273415923118591,https://cdn.pixabay.com/photo/2019/10/24/20/15/fireplace-4575208_1280.jpg
Foosball Table,Regular Trash - Bulky Items,Foosball Table,Regular Trash - Bulky Items,0.9999254941940308,https://assets.pbimgs.com/pbimgs/ab/images/dp/wcm/202307/0712/rustic-mahogany-foosball-table-l.jpg
Furniture,Regular Trash - Bulky Items,Furniture,Regular Trash - Bulky Items,0.4869963824748993,https://sethrolland.com/wp-content/uploads/2015/07/Cayuga-bed.jpg
Headboard,Regular Trash - Bulky Items,Headboard,Regular Trash - Bulky Items,0.90779709815979,https://upload.wikimedia.org/wikipedia/commons/f/f8/Wooden_headboard.jpg
Hot Tubs,Private Disposal,Hot Tubs,Private Disposal,0.980506420135498,https://p1.pxfuel.com/preview/224/384/994/whirlpool-hot-tub-garden-summer.jpg
Hutch,Regular Trash - Bulky Items,Cabinets,Private Disposal,0.47944876551628113,https://upload.wikimedia.org/wikipedia/commons/e/e5/1960s_Hutch_Dresser_-_highly_sought_after.jpg?20090827014721
Hutch,Regular Trash - Bulky Items,Dresser,Regular Trash - Bulky Items,0.3611066937446594,https://upload.wikimedia.org/wikipedia/commons/0/0d/Antique_hutch_%2823564112672%29.jpg
Kitchen Cabinets,Private Disposal,Kitchen Cabinets,Private Disposal,0.7870710492134094,https://p1.pxfuel.com/preview/924/946/435/kitchen-house-cottage.jpg
Kitchen Cabinets,Private Disposal,Kitchen Cabinets,Private Disposal,0.5818140506744385,https://live.staticflickr.com/3444/3846952531_bdbd5a6c7b_b.jpg
Ladder,Regular Trash - Bulky Items,Ladder,Regular Trash - Bulky Items,0.9890428185462952,https://images.pexels.com/photos/12498210/pexels-photo-12498210.jpeg
Ladder,Regular Trash - Bulky Items,Ladder,Regular Trash - Bulky Items,0.7116144895553589,https://upload.wikimedia.org/wikipedia/commons/7/73/Wooden_Ladder_in_Shopping_Mall_of_Shin_Kong_Minsheng_Square_20180324.jpg
Laminated Wood,Private Disposal,Laminated Wood,Private Disposal,0.3308772146701813,https://www.publicdomainpictures.net/pictures/290000/nahled/laminat.jpg
Linoleum,Private Disposal,Carpet,Private Disposal,0.641690194606781,https://upload.wikimedia.org/wikipedia/commons/3/34/Linoleum_003.jpg
Logs,Private Disposal,Logs,Private Disposal,0.8976250886917114,https://cdn.pixabay.com/photo/2016/11/20/08/03/logs-1842094_1280.jpg
Logs,Private Disposal,Logs,Private Disposal,0.9324039220809937,https://upload.wikimedia.org/wikipedia/commons/c/c7/Logs.jpg
Lumber,Private Disposal,Lumber,Private Disposal,0.850143313407898,https://nebldgsupply.com/wp-content/uploads/2022/02/shutterstock_1470717023-scaled.jpg
Nightstand,Regular Trash - Bulky Items,Nightstand,Regular Trash - Bulky Items,0.8715499639511108,https://upload.wikimedia.org/wikipedia/commons/f/fb/Nightstand_%2849875913303%29.jpg
Office Furniture,Regular Trash - Bulky Items,Office Furniture,Regular Trash - Bulky Items,0.6793913245201111,https://cdn.casamare.us/wp-content/uploads/2020/12/atlas-79-l-shaped-home-office-furniture-desk-brown-black-3.jpg?x57043
Ottoman,Regular Trash - Bulky Items,Ottoman,Regular Trash - Bulky Items,0.9261073470115662,https://upload.wikimedia.org/wikipedia/commons/8/83/Herter_Brothers_Ottoman%2C_1881-2%2C_High_Museum.JPG
Ottoman,Regular Trash - Bulky Items,Mattresses,Curbside Mattress Recycling ,0.7052925825119019,https://c2.peakpx.com/wallpaper/268/738/410/armchair-living-room-furniture-house-wallpaper-thumb.jpg
Painted Wood,Private Disposal,Painted Wood,Private Disposal,0.9989959597587585,https://upload.wikimedia.org/wikipedia/commons/d/d7/Old_painted_planks_texture_01.jpg
Paneling,Private Disposal,Paneling,Private Disposal,0.37919676303863525,https://c1.wallpaperflare.com/preview/410/412/858/background-tree-wood-boards.jpg
Particle Board,Private Disposal,Particle Board,Private Disposal,0.9725937843322754,https://upload.wikimedia.org/wikipedia/commons/d/dd/Particle_board_close_up-cut_face_PNr%C2%B00095.jpg
Particle Board,Private Disposal,Particle Board,Private Disposal,0.9579451680183411,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Particle_board_close_up-horizontal-f22_PNr%C2%B00101.jpg/1086px-Particle_board_close_up-horizontal-f22_PNr%C2%B00101.jpg?20090103021644
Patio Chair,Regular Trash - Bulky Items,Patio Chair,Regular Trash - Bulky Items,0.8750222325325012,https://upload.wikimedia.org/wikipedia/commons/7/71/Typical_Adirondack_chair_in_eastern_Ohio.jpg
Patio Chair,Regular Trash - Bulky Items,Patio Furniture (Plastic),Regular Trash - Bulky Items,0.7674240469932556,https://p1.pxfuel.com/preview/674/149/139/chairs-outdoors-relax-summer.jpg
Pencils,Regular Trash,Pencils,Regular Trash,0.9978511333465576,https://p1.pxfuel.com/preview/612/193/187/pencil-yellow-pencils-sharp.jpg
Pencils,Regular Trash,Pencils,Regular Trash,0.9537631273269653,https://live.staticflickr.com/2388/2376598010_9543d6a12b_b.jpg
Pencil Shavings,Regular Trash,Pencil Shavings,Regular Trash,0.9985760450363159,https://p1.pxfuel.com/preview/298/208/9/scraps-pencil-sharpener-shavings-waste-crayons-wood.jpg
Pianos,Private Disposal,Pianos,Private Disposal,0.7210443615913391,https://upload.wikimedia.org/wikipedia/commons/3/31/John_Broadwood_%26_Sons_Grand_Piano.jpg
Pianos,Private Disposal,Pianos,Private Disposal,0.8513396382331848,https://cdn2.picryl.com/photo/1720/01/01/grand-piano-e07c81-1024.jpg
Picnic Table,Private Disposal,Picnic Table,Private Disposal,0.9979604482650757,https://p1.pxfuel.com/preview/537/99/608/table-field-table-wood-vacuum-nature-chair.jpg
Picnic Table,Private Disposal,Picnic Table,Private Disposal,0.9951595664024353,https://cdn12.picryl.com/photo/2016/12/31/table-wooden-table-bank-434c85-1024.jpg
Ping Pong Table,Regular Trash - Bulky Items,Ping Pong Table,Regular Trash - Bulky Items,0.9963691234588623,https://images.squarespace-cdn.com/content/v1/5e6334a5ea31d869d6c3a880/1653502159396-TBNXD89M03B38ZZDA6EE/WOOLSEY-WHITEOAKPONG+-+10.JPG?format=1500w
Ping Pong Table,Regular Trash - Bulky Items,Ping Pong Table,Regular Trash - Bulky Items,0.9992159605026245,https://upload.wikimedia.org/wikipedia/commons/0/0c/Table_tennis_table_007.JPG
Playhouse,Regular Trash,Swing Sets (wooden),Private Disposal,0.5524791479110718,https://c2.peakpx.com/wallpaper/556/5/101/playground-children-s-lodge-holiday-wallpaper-preview.jpg
Playhouse,Regular Trash,Playhouse,Regular Trash,0.9976423382759094,https://upload.wikimedia.org/wikipedia/commons/5/53/Playhouse_20170820.jpg
Plywood,Private Disposal,Plywood,Private Disposal,0.9500851035118103,https://upload.wikimedia.org/wikipedia/commons/6/66/The_original_piece_of_plywood.jpg
Popsicle Sticks (wooden),Curbside Food Waste Collection,Popsicle Sticks (wooden),Curbside Food Waste Collection,0.9971665740013123,https://upload.wikimedia.org/wikipedia/commons/9/98/Coloured_and_natural_craft_sticks.jpg
Popsicle Sticks (wooden),Curbside Food Waste Collection,Popsicle Sticks (wooden),Curbside Food Waste Collection,0.9979169964790344,https://live.staticflickr.com/65535/47927622056_89f2288dd7_b.jpg
Popsicle Sticks (wooden),Curbside Food Waste Collection,Popsicle Sticks (wooden),Curbside Food Waste Collection,0.9977130889892578,https://live.staticflickr.com/55/185807557_b57744dd6a_b.jpg
Rain Barrels,Regular Trash,Rain Barrels,Regular Trash,0.5425401926040649,https://c1.wallpaperflare.com/preview/64/970/341/barrel-wooden-rain.jpg
Rain Barrels,Regular Trash,Rain Barrels,Regular Trash,0.7981142997741699,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Water_barrel%2C_SAL_Depot%2C_Gainesville%2C_FL_%28closeup%29.jpg/675px-Water_barrel%2C_SAL_Depot%2C_Gainesville%2C_FL_%28closeup%29.jpg?20121208235056
Sawdust,Private Disposal,Cat Feces,Regular Trash,0.5681998133659363,https://live.staticflickr.com/2912/14584737027_e57ccfe4a8_b.jpg
Sheetrock,Private Disposal,Construction Material,Private Disposal,0.38911232352256775,https://cdn10.picryl.com/photo/2014/09/25/galena-alaska-september-19-2013-sheetrock-is-kept-in-a-house-next-to-the-galena-d7f61a-1024.jpg
Shingles,Curbside Food Waste Collection,Shingles,Curbside Food Waste Collection,0.9759568572044373,https://www.redemptionroofing.com/wp-content/uploads/2015/07/why-choose-wood-shingles-or-shakes-1280x720.jpg
Shingles,Curbside Food Waste Collection,Shingles,Curbside Food Waste Collection,0.9952878952026367,https://aingerroofing.ca/wp-content/uploads/2022/06/image-from-rawpixel-id-6050702-jpeg.jpg
Sisal,Regular Trash,Sisal,Regular Trash,0.492879718542099,https://p1.pxfuel.com/preview/794/270/446/hemp-rope-fixing-woven-cordage-sisal.jpg
Sisal,Regular Trash,Sisal,Regular Trash,0.9874438643455505,https://p1.pxfuel.com/preview/668/34/563/sisal-cord-wrapped-coiled.jpg
Sleeper Sofa,Regular Trash - Bulky Items,Sofas,Regular Trash,0.7743549942970276,https://p1.pxfuel.com/preview/892/1003/717/sofa-couch-living-room-home.jpg
Sleeper Sofa,Regular Trash - Bulky Items,Sleeper Sofa,Regular Trash - Bulky Items,0.8189918994903564,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/IKEA_Elizabeth_NJ_-_November_2021_-_13.jpg/1200px-IKEA_Elizabeth_NJ_-_November_2021_-_13.jpg?20211114174128
Stumps,Private Disposal,Stumps,Private Disposal,0.9926360249519348,https://s0.geograph.org.uk/photos/63/39/633979_3ba63e4c.jpg
Stumps,Private Disposal,Stumps,Private Disposal,0.6786749958992004,https://upload.wikimedia.org/wikipedia/commons/3/36/Tree_stump1_30u06.JPG
Swing Sets (wooden),Private Disposal,Swing Sets (wooden),Private Disposal,0.9024050235748291,https://upload.wikimedia.org/wikipedia/commons/6/68/Swingset.sized.jpg
Table,Regular Trash - Bulky Items,Table,Regular Trash - Bulky Items,0.9887844324111938,https://sethrolland.com/wp-content/uploads/2015/07/Arbol-cafe-table.jpg
Table,Regular Trash - Bulky Items,Table,Regular Trash - Bulky Items,0.8423191905021667,https://upload.wikimedia.org/wikipedia/commons/8/8d/Folding_table.jpg
Toothpicks (wooden),Regular Trash,Toothpicks (wooden),Regular Trash,0.9976759552955627,https://www.freeimageslive.co.uk/image/view/17147/_original
Tree Branches,Leaf and Yard Waste,Tree Branches,Leaf and Yard Waste,0.9983383417129517,https://upload.wikimedia.org/wikipedia/commons/4/42/Branches_of_a_tree.JPG
Tree Branches,Leaf and Yard Waste,Fire Debris,Private Disposal,0.6604573726654053,https://www.publicdomainpictures.net/pictures/320000/nahled/heap-of-cut-twigs-and-branches.jpg
Tree Cuttings,Leaf and Yard Waste,Logs,Private Disposal,0.8016471862792969,https://upload.wikimedia.org/wikipedia/commons/6/67/Tree_cutting_at_Iritty_Mattannur_road_as_part_of_road_expansion_%2856%29.jpg
Tree Trunk,Private Disposal,Tree Trunk,Private Disposal,0.9613999724388123,https://p1.pxfuel.com/preview/732/1023/653/tree-trunk-bark-texture.jpg
Tree Trunk,Private Disposal,Tree Trunk,Private Disposal,0.9146416783332825,https://live.staticflickr.com/4001/4269852644_d19cffc96c_b.jpg
Vanity,Private Disposal,Cabinets,Private Disposal,0.5544615387916565,https://i2.pickpik.com/photos/125/455/703/bathroom-vanity-toilet-counter-preview.jpg
Vanity,Private Disposal,Cabinets,Private Disposal,0.3248985707759857,https://live.staticflickr.com/4101/4812865461_6e1dbc828b_z.jpg
Wheelbarrow,Regular Trash - Bulky Items,Wheelbarrow,Regular Trash - Bulky Items,0.9808694124221802,https://www.stockvault.net/data/2016/12/30/220083/preview16.jpg
Wheelbarrow,Regular Trash - Bulky Items,Wheelbarrow,Regular Trash - Bulky Items,0.9999395608901978,https://upload.wikimedia.org/wikipedia/commons/f/fb/Wooden_wheelbarrow.jpg
Window Frames,Private Disposal,Curtain,Regular Trash,0.9279056787490845,https://i2.pickpik.com/photos/320/221/67/farmhouse-window-window-frame-curtains-preview.jpg
Wooden Clementine Crate,Regular Trash,Wooden Clementine Crate,Regular Trash,0.9940457344055176,https://p1.pxfuel.com/preview/213/195/728/oranges-fruit-orange-vitamins-healthy-nutrition.jpg
Wooden Clementine Crate,Regular Trash,Wooden Clementine Crate,Regular Trash,0.9972112774848938,https://p1.pxfuel.com/preview/321/208/892/food-box-fruit-healthy.jpg
Wooden Pallets,Private Disposal,Wooden Pallets,Private Disposal,0.9846639037132263,https://upload.wikimedia.org/wikipedia/commons/2/25/Wooden-pallets_stacked_8.jpg
Wooden Pallets,Private Disposal,Wooden Pallets,Private Disposal,0.7543660402297974,https://i1.pickpik.com/photos/613/631/801/euro-pallets-wood-stack-industry-preview.jpg
Wooden Skids,Private Disposal,Wooden Pallets,Private Disposal,0.9934950470924377,https://p1.pxfuel.com/preview/180/652/892/pallet-industrial-logistic-woods-logistics-logistics-platform.jpg
Wood Scraps (less than 4 inches),Private Disposal,Wood Scraps (less than 4 inches),Private Disposal,0.5721158385276794,https://c1.wallpaperflare.com/preview/703/623/747/building-blocks-wood-stones-toys-build.jpg
Wood Scraps (over 4 inches),Private Disposal,Wood Scraps (less than 4 inches),Private Disposal,0.3314741849899292,https://c1.wallpaperflare.com/preview/199/90/339/wood-chop-wood-woods-industry-nature-sawdust.jpg
