,expected,output,output disposal,probability,url,img_name
Cereal Boxes,Recycling,Cereal Boxes,Recycling,0.7077346444129944,https://live.staticflickr.com/3859/15057852580_2ab5fae9a7_b.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/cereal-boxes_2.jpg
Cold Drink Cups (paper),Recycling,Hot Drink Cups (paper),Regular Trash,0.3714097738265991,https://c.pxhere.com/photos/c0/62/paper_cup_cup_paper_disposable_cups_1_hoeyongpum-670188.jpg!d,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/cold-drink-cups- paper .jpg
Computer Paper,Recycling,Styrofoam Sheets,Regular Trash,0.25408342480659485,https://c1.peakpx.com/wallpaper/547/163/756/computer-paper-mill-book-paper-wallpaper-preview.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/computer-paper.jpg
Computer Paper,Recycling,Computer Paper,Recycling,0.8473981618881226,https://upload.wikimedia.org/wikipedia/commons/e/e8/Bound_computer_printout.agr.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/computer-paper_1.jpg
Copy Paper,Recycling,Paper,Recycling,0.4346736669540405,https://upload.wikimedia.org/wikipedia/commons/e/e5/Stack_of_Copy_Paper.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/copy-paper.jpg
Copy Paper,Recycling,Parchment Paper,Curbside Food Waste Collection,0.25748544931411743,https://c1.wallpaperflare.com/preview/857/152/922/paper-card-business-card-blank.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/copy-paper_1.jpg
Corrugated Cardboard,Recycling,Corrugated Cardboard,Recycling,0.9865137934684753,https://cdn.pixabay.com/photo/2017/04/12/17/35/corrugated-2225141_1280.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/corrugated-cardboard.jpg
Dunkin Donuts Cups (paper),Regular Trash,Dunkin Donuts Cups (paper),Regular Trash,0.9341132640838623,https://live.staticflickr.com/1357/545305693_c210f7c1a8_z.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/dunkin-donuts-cups- paper .jpg
Dunkin Donuts Cups (paper),Regular Trash,Dunkin Donuts Cups (paper),Regular Trash,0.7963447570800781,https://live.staticflickr.com/1098/545308319_082ff67a32_z.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/dunkin-donuts-cups- paper _1.jpg
Dunkin Donuts Cups (paper),Regular Trash,Dunkin Donuts Cups (paper),Regular Trash,0.16561083495616913,https://c0.wallpaperflare.com/preview/734/709/271/dunkin-donuts-plastic-cup.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/dunkin-donuts-cups- paper _2.jpg
Egg Cartons (cardboard),Curbside Food Waste Collection,Eggs,Curbside Food Waste Collection,0.6737205982208252,https://i1.pickpik.com/photos/129/561/204/eggs-carton-food-healthy-preview.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/egg-cartons- cardboard .jpg
Egg Cartons (cardboard),Curbside Food Waste Collection,Egg Cartons (styrofoam),Regular Trash,0.685537576675415,https://pixnio.com/free-images/2020/05/05/2020-05-05-11-31-15.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/egg-cartons- cardboard _1.jpg
Egg Cartons (cardboard),Curbside Food Waste Collection,Egg Cartons (styrofoam),Regular Trash,0.8541390299797058,https://p1.pxfuel.com/preview/163/555/747/paper-egg-tray-panel-paper-egg-egg-crate-paper-egg-carton-paper.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/egg-cartons- cardboard _2.jpg
Envelopes,Recycling,Envelopes,Recycling,0.6860243678092957,https://p1.pxfuel.com/preview/653/182/403/mail-envelope-letter-message.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/envelopes.jpg
Fax Paper,Recycling,Fax Paper,Recycling,0.767132580280304,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/frterpvesalainen00025-image-kwvwx42a.jpg?w=800&dpr=1&fit=default&crop=default&q=65&vib=3&con=3&usm=15&bg=F4F4F3&ixlib=js-2.2.1&s=5b08e5137a9bc40d28fce3f81f2ed638,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/fax-paper.jpg
File Folder,Recycling,File Folder,Recycling,0.8531855344772339,https://images.pexels.com/photos/4792285/pexels-photo-4792285.jpeg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/file-folder.jpg
File Folder,Recycling,File Folder,Recycling,0.6670767664909363,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/px1333351-image-kwvw2zlg.jpg?w=800&dpr=1&fit=default&crop=default&q=65&vib=3&con=3&usm=15&bg=F4F4F3&ixlib=js-2.2.1&s=60e8eda2f7818bf02b353c48d8abeb24,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/file-folder_1.jpg
Flour Bags (paper),Curbside Food Waste Collection,Flour Bags (paper),Curbside Food Waste Collection,0.9932273030281067,https://upload.wikimedia.org/wikipedia/commons/9/90/Sack_of_King_Arthur_all_purpose_flour.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/flour-bags- paper .jpg
Frozen Juice Cans,Regular Trash,Frozen Juice Cans,Regular Trash,0.9819557070732117,https://p1.pxfuel.com/preview/825/395/758/beverage-cans-asia-commercial-packaging-drinks-drinking-sparkling-soft-drinks.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/frozen-juice-cans.jpg
Junk Mail,Recycling,Junk Mail,Recycling,0.9733057618141174,https://upload.wikimedia.org/wikipedia/commons/e/e5/Pile_of_junk_mail.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/junk-mail.jpg
Junk Mail,Recycling,Junk Mail,Recycling,0.48476359248161316,https://upload.wikimedia.org/wikipedia/commons/d/d2/Junk_mail_collection.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/junk-mail_1.jpg
Laminated Wood,Private Disposal,Laminated Wood,Private Disposal,0.8940427303314209,https://upload.wikimedia.org/wikipedia/commons/4/47/Laminated_Veneer_Lumber.png,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/laminated-wood.jpg
Milk Boxes,Regular Trash,Milk Cartons,Regular Trash,0.6902948617935181,https://pixnio.com/free-images/food-and-drink/cartons-of-soy-milk.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/milk-boxes.jpg
Milk Cartons,Regular Trash,Juice Cartons,Regular Trash,0.3963524103164673,https://upload.wikimedia.org/wikipedia/commons/3/37/-2022-02-09_A_2_Litre_carton_of_skimmed_milk%2C_Trimingham%2C_Norfolk_%283%29.JPG,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/milk-cartons.jpg
Office Paper,Recycling,Business Forms,Recycling,0.23095543682575226,https://c0.wallpaperflare.com/preview/642/198/533/papers-projects-documents-documentation.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/office-paper.jpg
Paperback Books,Recycling,Paperback Books,Recycling,0.44529151916503906,https://live.staticflickr.com/5504/12221425763_33448dd9c4_b.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/paperback-books.jpg
Paperback Books,Recycling,Paperback Books,Recycling,0.3535067141056061,https://p1.pxfuel.com/preview/1023/36/45/antiques-vintage-books-old.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/paperback-books_1.jpg
Paperback Books,Recycling,Hardcover Books,Reuse,0.4495912790298462,https://images.pexels.com/photos/3847646/pexels-photo-3847646.jpeg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/paperback-books_2.jpg
Paper Bags,Recycling,Paper Bags,Recycling,0.8436288833618164,https://p1.pxfuel.com/preview/60/204/32/bag-paper-bag-brown-paper-bag-paper.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/paper-bags.jpg
Paper Bags,Recycling,Paper Bags,Recycling,0.989728569984436,https://images.pexels.com/photos/1666067/pexels-photo-1666067.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/paper-bags_1.jpg
Paperboard,Recycling,Corrugated Cardboard,Recycling,0.5456665754318237,https://upload.wikimedia.org/wikipedia/commons/f/fb/Cardboard_All_Flutes.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/paperboard.jpg
Pizza Box,Recycling,Pizza Box,Recycling,0.8363261222839355,https://www.pmq.com/wp-content/uploads/2019/04/pizzabox2new.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/pizza-box.jpg
Pizza Box,Recycling,Pizza Box,Recycling,0.9996651411056519,https://live.staticflickr.com/1939/44720432145_b68f113780_b.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/pizza-box_1.jpg
Soiled Cardboard,Curbside Food Waste Collection,Milk Boxes,Regular Trash,0.3607470691204071,https://cdn.pixabay.com/photo/2021/07/12/10/32/package-6405973_1280.png,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/soiled-cardboard.jpg
Soiled Paper,Curbside Food Waste Collection,Parchment Paper,Curbside Food Waste Collection,0.39238226413726807,https://p0.pxfuel.com/preview/675/937/131/old-paper-parchment-swirl.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/soiled-paper.jpg
Shoe Box (cardboard),Recycling,Shoe Box (cardboard),Recycling,0.8875860571861267,https://live.staticflickr.com/5279/5853200042_3272dfdc35_b.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/shoe-box- cardboard .jpg
Shoe Box (cardboard),Recycling,Metal,Private Disposal,0.09077563136816025,https://upload.wikimedia.org/wikipedia/commons/d/d8/Shoe_box_%282%29.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/shoe-box- cardboard _1.jpg
Shoe Box (cardboard),Recycling,Shoe Box (cardboard),Recycling,0.6167930960655212,https://live.staticflickr.com/5316/5853212008_e463b5da3b_b.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/shoe-box- cardboard _2.jpg
Starbucks Cup (paper),Regular Trash,Starbucks Cup (paper),Regular Trash,0.6015069484710693,https://images.pexels.com/photos/7133625/pexels-photo-7133625.jpeg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/starbucks-cup- paper .jpg
Starbucks Cup (paper),Regular Trash,Starbucks Cup (paper),Regular Trash,0.794303834438324,https://live.staticflickr.com/1431/719413255_d30a154933_z.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/starbucks-cup- paper _1.jpg
Tissue Box,Recycling,Tissue Box,Recycling,0.8634080290794373,https://upload.wikimedia.org/wikipedia/commons/7/79/A_tissue_box.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/tissue-box.jpg
Tissue Box,Recycling,Tissue Box,Recycling,0.8239609599113464,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/frhandkerchiefs_box_bless_you-image-kybdjvuw.jpg?w=1200&h=1200&dpr=1&fit=clip&crop=default&fm=jpg&q=75&vib=3&con=3&usm=15&cs=srgb&bg=F4F4F3&ixlib=js-2.2.1&s=5ea7c2b77a8984d8c6337594b574b1a1,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/tissue-box_1.jpg
Vacuum Bag Contents,Regular Trash,Dryer Lint,Regular Trash,0.6274546980857849,https://upload.wikimedia.org/wikipedia/commons/8/87/Vacuum_cleaner_bag_in_vacuum_cleaner.jpg,/content/drive/My Drive/neurips_colab/dataset_final/cardboard_paper/vacuum-bag-contents.jpg
