,expected,output,output disposal,probability,url
Coffee Cups (plastic),Recycling,Starbucks Cup (paper),Regular Trash,0.3482435941696167,https://c0.wallpaperflare.com/preview/118/88/1011/black-plastic-disposable-cup-on-brown-surface.jpg
Coffee Stir Sticks (plastic),Recycling,Forks,Regular Trash,0.35784652829170227,https://upload.wikimedia.org/wikipedia/commons/a/a6/Touillettes.JPG
Compact Disc Cases,Regular Trash,Compact Disc Cases,Regular Trash,0.993757963180542,https://upload.wikimedia.org/wikipedia/commons/a/a4/Cd_jewel_case%2C_no_art%2C_right_angle.jpg
Contact Lens Cases,Regular Trash,Contact Lens Cases,Regular Trash,0.48594510555267334,https://pixnio.com/free-images/objects/opened-contact-lens-case-revealing-its-contents.jpg
Cookie Bag,Regular Trash,Cookie Bag,Regular Trash,0.9880141615867615,https://p1.pxfuel.com/preview/778/801/158/cantuccini-gift-packaging-biscuit-bag-pastries-cookie.jpg
Cotton Swab (with plastic stick),Regular Trash,Cotton Swab (with plastic stick),Regular Trash,0.6075122356414795,https://p0.pxfuel.com/preview/16/520/1022/gxl-cotton-plastic-cotton-swabs.jpg
"Crates (wooden, plastic)",Private Disposal,Plastic Baskets,Recycling,0.537933886051178,https://p1.pxfuel.com/preview/651/134/362/folding-box-folding-shopping-stow.jpg
"Cutting Board (wood, plastic)",Regular Trash,Colored Paper,Recycling,0.8075105547904968,https://p1.pxfuel.com/preview/951/664/8/chopping-board-cutting-board-colorful-wood.jpg
Deodorant Spray Bottles,Regular Trash,Aerosol Air Freshener (empty),Regular Trash,0.4582713842391968,https://p1.pxfuel.com/preview/729/29/283/perfume-deodorant-old-spice.jpg
Deodorant Sticks,Regular Trash,Deoderant Roll-on,Regular Trash,0.3573484718799591,https://static.openbeautyfacts.org/images/products/50287062/front_en.12.400.jpg
Diapers,Regular Trash,Diapers,Regular Trash,0.9942532181739807,https://p1.pxfuel.com/preview/358/312/849/baby-cloth-clothing-color.jpg
Dishwasher,Regular Trash - Bulky Items,Dishwasher,Regular Trash - Bulky Items,0.9962543249130249,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/24-inch_Built-In_Dishwasher_%28F89088VI-M-1%29.jpg/808px-24-inch_Built-In_Dishwasher_%28F89088VI-M-1%29.jpg?20210524063247
Disposable Lighters,Regular Trash,Lighters,Regular Trash,0.8400017619132996,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Hand_holding_burning_lighter.jpg/1600px-Hand_holding_burning_lighter.jpg?20160929164004
Drink Boxes,Regular Trash,Milk Cartons,Regular Trash,0.6295211911201477,https://s3.amazonaws.com/arc-wordpress-client-uploads/wweek/wp-content/uploads/2018/06/09200616/4282789501_8b8b28ea5f_o.jpg
Dunkin Donuts Cups (styrofoam),Regular Trash,Dunkin Donuts Cups (paper),Regular Trash,0.6266053915023804,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Dunkin_Donuts_coffee_%288639293426%29.jpg/1600px-Dunkin_Donuts_coffee_%288639293426%29.jpg?20180518053933
Egg Cartons (clear plastic),Recycling,Egg Cartons (clear plastic),Recycling,0.9549871683120728,https://upload.wikimedia.org/wikipedia/commons/b/b7/Plastic_egg_carton.jpg?20180907172636
Egg Cartons (styrofoam),Regular Trash,Egg Cartons (styrofoam),Regular Trash,0.6552259922027588,https://upload.wikimedia.org/wikipedia/commons/e/e5/Hartschaum-Eierkarton.jpg
Empty Motor Oil Bottles,Regular Trash,Motor Oil Bottles,Hazardous Waste,0.3627818524837494,https://recollect-images.global.ssl.fastly.net/api/image/500/b39f1a1e-eacb-11e9-96ac-d47a0104b5ca.svg
Eyeglass Cases,Reuse,Eyeglass Cases,Reuse,0.9743275046348572,https://images.pexels.com/photos/211280/pexels-photo-211280.jpeg
Flares,Private Disposal,Flares,Private Disposal,0.9712648987770081,https://upload.wikimedia.org/wikipedia/commons/7/7c/Flare_0.jpg
Flat Screen Monitors,Appointment Collection Item,Flat Screen Monitors,Appointment Collection Item,0.721157431602478,https://freesvg.org/img/molumen_LCD_Monitor.png
Flat Screen Televisions,Appointment Collection Item,TV,Appointment Collection Item,0.5455513596534729,https://creazilla-store.fra1.digitaloceanspaces.com/three_d_models/7873810/flat-screen-tv-3d-model-176278-md.jpeg
Flower Pots (plastic),Regular Trash,Flower Pot,Regular Trash,0.7430257797241211,https://cdn.pixabay.com/photo/2018/10/29/17/30/flower-3781655_1280.jpg
Foam Packaging,Regular Trash,Foam Packaging,Regular Trash,0.8705486059188843,https://upload.wikimedia.org/wikipedia/commons/6/65/Expanded_polystyrene_foam_dunnage.jpg
Foam Packaging,Regular Trash,Foam Packaging,Regular Trash,0.8705486059188843,https://upload.wikimedia.org/wikipedia/commons/6/65/Expanded_polystyrene_foam_dunnage.jpg
Garage Door Opener,Electronics Recycling,Remotes,Electronics Recycling,0.7227997779846191,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Multi_Frequency_garage_door_remote_control_duplicator_Creasol_Multi.png/640px-Multi_Frequency_garage_door_remote_control_duplicator_Creasol_Multi.png
Garbage Disposal,Regular Trash,Garbage Disposal,Regular Trash,0.5323620438575745,https://upload.wikimedia.org/wikipedia/commons/a/a1/Garbage_disposal_unit_%2803%29.JPG
Gift Wrap,Regular Trash,Gift Wrap,Regular Trash,0.9620394706726074,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Sch%C3%B6ne_Geschenke.jpg/640px-Sch%C3%B6ne_Geschenke.jpg
Hair Brush,Regular Trash,Hair Brush,Regular Trash,0.9876526594161987,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Hairbrush_with_metal_bristles.jpg/640px-Hairbrush_with_metal_bristles.jpg
Hair Straighteners,Electronics Recycling,Hair Straighteners,Electronics Recycling,0.9301990866661072,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Hair_straightener_TTH2510_by_Tescom_%282015-09-19%29.JPG/640px-Hair_straightener_TTH2510_by_Tescom_%282015-09-19%29.JPG
Hydrogen Peroxide,Hazardous Waste,Hydrogen Peroxide,Hazardous Waste,0.9997653365135193,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Hydrogen_peroxide_tanker_inspection_records.jpg/640px-Hydrogen_peroxide_tanker_inspection_records.jpg
Inhaler,Regular Trash,Toothpaste Tube,Regular Trash,0.5793230533599854,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Inhaler_-_3230581981.jpg/640px-Inhaler_-_3230581981.jpg
Juice Cartons,Regular Trash,Juice Cartons,Regular Trash,0.7101314663887024,https://creazilla-store.fra1.digitaloceanspaces.com/cliparts/64136/carton-of-orange-juice-clipart-md.png
Keyboard,Electronics Recycling,Keyboard,Electronics Recycling,0.9976975321769714,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Logitech_K750-3467.jpg/640px-Logitech_K750-3467.jpg
Kitty Litter,Regular Trash,Kitty Litter,Regular Trash,0.9946742057800293,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Litter_box.jpg/640px-Litter_box.jpg
Latex Gloves,Regular Trash,Latex Gloves,Regular Trash,0.9979807734489441,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Disposable_nitrile_glove.jpg/640px-Disposable_nitrile_glove.jpg
Laundry Basket,Regular Trash,Laundry Basket,Regular Trash,0.6717182397842407,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/2021-07-24_repaired_laundry_basket_01.jpg/640px-2021-07-24_repaired_laundry_basket_01.jpg
Legos,Regular Trash,Legos,Regular Trash,0.761589765548706,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Red_lego_brick.png/640px-Red_lego_brick.png
Lighters,Regular Trash,Disposable Lighters,Regular Trash,0.6980649828910828,https://upload.wikimedia.org/wikipedia/commons/a/ae/BIC_lighter_2008-12-31.jpg
Lotion Bottles (empty),Recycling,Shampoo Bottle,Recycling,0.4714052379131317,https://static.openbeautyfacts.org/images/products/357/466/128/5894/front_en.4.400.jpg
Luggage,Regular Trash,Luggage,Regular Trash,0.8123926520347595,https://images.rawpixel.com/image_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA4L3JtNTcyLWVsZW1lbnRzLTAyLmpwZw.jpg
Margarine Tubs,Curbside Food Waste Collection,Margarine Tubs,Curbside Food Waste Collection,0.7789127230644226,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Clover_spread.jpg/1600px-Clover_spread.jpg?20210830111718
Microwave Popcorn Bags,Regular Trash,Microwave Popcorn Bags,Regular Trash,0.8950780630111694,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Microwave_popcorn_ACT_II.jpg/640px-Microwave_popcorn_ACT_II.jpg
Mouse (computer),Electronics Recycling,Mouse (computer),Electronics Recycling,0.9999188184738159,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Wheel_mouse.JPG/640px-Wheel_mouse.JPG
Mug,Regular Trash,Mug,Regular Trash,0.8134247064590454,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/IBM_merchandising_coffee_mug_with_company_logo.jpg/640px-IBM_merchandising_coffee_mug_with_company_logo.jpg
Packing Peanuts,Regular Trash,Packing Peanuts,Regular Trash,0.6779384613037109,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Packing_peanuts_plastic_packaging_material.jpg/640px-Packing_peanuts_plastic_packaging_material.jpg
Padded Envelopes,Regular Trash,Padded Envelopes,Regular Trash,0.5602350234985352,https://upload.wikimedia.org/wikipedia/commons/3/3e/Padded_Mailer.jpg
Paper Cups,Recycling,Coffee Cups (plastic),Recycling,0.4202502965927124,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Paper_Cups_-_isolated.png/640px-Paper_Cups_-_isolated.png
Patio Furniture (Plastic),Regular Trash - Bulky Items,Patio Furniture (Plastic),Regular Trash - Bulky Items,0.6907704472541809,https://upload.wikimedia.org/wikipedia/commons/8/88/Plastic_outdoor_chair_1_2017-06-14.jpg
Pens,Regular Trash,Mercury Thermometer,Hazardous Waste,0.9974151849746704,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Niceday_pen.jpg/640px-Niceday_pen.jpg
Phone Case,Regular Trash,Cell Phone Accessories,Electronics Recycling,0.561569333076477,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/bs60-image-kwvym7nd-kynndacg.jpg?w=800&dpr=1&fit=default&crop=default&q=65&vib=3&con=3&usm=15&bg=F4F4F3&ixlib=js-2.2.1&s=186a921813970699113d8d5be8e07235
Pill Bottles,Regular Trash,Pill Bottles,Regular Trash,0.632897675037384,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Pill_Bottle_Spilled.jpg/640px-Pill_Bottle_Spilled.jpg
Ping Pong Table,Regular Trash - Bulky Items,Ping Pong Table,Regular Trash - Bulky Items,0.9988964796066284,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Outdoor-ping-pong-table-600x600.png/640px-Outdoor-ping-pong-table-600x600.png
Plastic Bags,Regular Trash,Plastic Grocery Bags (clean),Regular Trash,0.7740983366966248,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Discarded_Meijer_plastic_bag.jpg/673px-Discarded_Meijer_plastic_bag.jpg?20200228195520
Plastic Baskets,Recycling,Plastic Baskets,Recycling,0.8001063466072083,https://p1.pxfuel.com/preview/27/327/780/basket-shopping-green-stack.jpg
Plastic Bottle Caps,Recycling,Plastic Bottle Caps,Recycling,0.639887809753418,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Fuzetea_red_plastic_bottle_cap%2C_Oude_Pekela_%282019%29.jpg/640px-Fuzetea_red_plastic_bottle_cap%2C_Oude_Pekela_%282019%29.jpg
Plastic Bottles,Recycling,Plastic Bottles,Recycling,0.66998690366745,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Plastic_bottles_before_processing.jpg/640px-Plastic_bottles_before_processing.jpg
Plastic Bucket,Recycling,Bowl (plastic),Regular Trash,0.514599084854126,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Caustic_with_a_cusp_of_reflected_lamp_light_in_a_plastic_bucket%2C_2022_-_3.jpg/640px-Caustic_with_a_cusp_of_reflected_lamp_light_in_a_plastic_bucket%2C_2022_-_3.jpg
Plastic Caps,Recycling,Plastic Cup Lid,Regular Trash,0.5539910793304443,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/White_plastic_stopper.JPG/640px-White_plastic_stopper.JPG
Plastic Cards,Regular Trash,Plastic Cards,Regular Trash,0.9777584075927734,https://p1.pxfuel.com/preview/154/291/806/cards-plastic-cards-card-credit-card.jpg
Plastic Clothes Hangers,Regular Trash,Plastic Clothes Hangers,Regular Trash,0.5252545475959778,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Hanger_for_dresses.jpg/640px-Hanger_for_dresses.jpg
Plastic Cup Lid,Regular Trash,Plastic Cup Lid,Regular Trash,0.8394232392311096,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/HK_%E4%B8%AD%E7%92%B0_Central_Lunch_MacDonald%27s_drink_cup_plastic_cover_6PS_%E5%A1%91%E8%86%A0%E5%88%86%E9%A1%9E%E6%A8%99%E8%AA%8C_Resin_identification_code_Sept_2019_SSG_01.jpg/640px-HK_%E4%B8%AD%E7%92%B0_Central_Lunch_MacDonald%27s_drink_cup_plastic_cover_6PS_%E5%A1%91%E8%86%A0%E5%88%86%E9%A1%9E%E6%A8%99%E8%AA%8C_Resin_identification_code_Sept_2019_SSG_01.jpg
Plastic Cups (clear),Recycling,Plastic Cups (clear),Recycling,0.9564458727836609,https://c0.wallpaperflare.com/preview/280/202/500/clear-plastic-drinking-cup.jpg
Plastic Cups (colored),Regular Trash,Plastic Cups (colored),Regular Trash,0.9434120655059814,https://c2.peakpx.com/wallpaper/577/523/589/cup-drink-colorful-color-party-wallpaper-preview.jpg
Plastic Dishes,Regular Trash,Plastic Dishes,Regular Trash,0.4746513366699219,https://cdn.pixabay.com/photo/2014/12/23/11/55/plate-578251_1280.jpg
Plastic Food Trays,Recycling,Plastic Food Trays,Recycling,0.9635879993438721,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/UW_280639.jpg/1145px-UW_280639.jpg?20210511122631
Plastic Food Wrap,Regular Trash,Plastic Food Wrap,Regular Trash,0.8781402707099915,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Saran_Wrap_02.JPG/640px-Saran_Wrap_02.JPG
Plastic Grocery Bags (clean),Regular Trash,Vacuum Bags (with plastic removed),Regular Trash,0.7986204028129578,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Plastic_shopping_bag_of_Sakae.JPG/640px-Plastic_shopping_bag_of_Sakae.JPG
Plastic Jars,Recycling,Mercury Thermometer,Hazardous Waste,0.4760511517524719,https://cdn2.picryl.com/photo/2013/05/26/a-plastic-jar-of-reward-coupons-lies-in-the-rubble-b8ce47-1024.jpg
Plastic Jugs,Recycling,Plastic Bottles,Recycling,0.4843604266643524,https://c.pxhere.com/photos/c2/6c/pet_jar_with_cap_plastic_pet_jar_container_bottle_cap_pvc-1275567.jpg!d
Plastic Make-up Jars,Regular Trash,Sanitary Products,Regular Trash,0.31570953130722046,https://images.pexels.com/photos/5217786/pexels-photo-5217786.jpeg
Plastic Overwrap,Regular Trash,Bubble Wrap,Regular Trash,0.8744203448295593,https://c.pxhere.com/photos/00/10/photo-208448.jpg!d
Plastic Pails (remove metal handles),Recycling,Plastic Bucket,Recycling,0.46188175678253174,https://p1.pxfuel.com/preview/372/358/446/buckets-wash-pail-clean-collect-carrier.jpg
Plastic Planting Trays (clean),Regular Trash,Plastic Planting Trays (clean),Regular Trash,0.9998273253440857,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Wikibooks_planting-seed_starter.jpg/1600px-Wikibooks_planting-seed_starter.jpg?20120319102659
Plastic Plants,Regular Trash,Artificial Plants,Regular Trash,0.737716555595398,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Plastic_Plant.png/640px-Plastic_Plant.png
Plastic Toys,Regular Trash,Plastic Toys,Regular Trash,0.9856772422790527,https://p1.pxfuel.com/preview/694/716/25/toys-toy-children-toys-plastic-toys.jpg
Plastic Tub Lids,Recycling,Plastic Tubs with Lids (clean),Recycling,0.6118658781051636,https://upload.wikimedia.org/wikipedia/commons/d/d4/Tubs_of_wood_filler_or_putty.jpg
Plastic Tubs with Lids (clean),Recycling,Tupperware,Regular Trash,0.9428437352180481,https://upload.wikimedia.org/wikipedia/commons/2/2f/Tupperware-PP.jpg
Plastic Utensils,Regular Trash,Plastic Utensils,Regular Trash,0.9874081611633301,https://upload.wikimedia.org/wikipedia/commons/7/73/Plasticware_-_isolated.png
Playhouse,Regular Trash,Playhouse,Regular Trash,0.9983204007148743,https://c1.peakpx.com/wallpaper/893/933/117/girl-happy-outdoors-play-play-house-wallpaper-preview.jpg
Playing Cards,Regular Trash,Playing Cards,Regular Trash,0.9943932294845581,https://images.pexels.com/photos/279009/pexels-photo-279009.jpeg
Polycarbonate,Regular Trash,Polycarbonate,Regular Trash,0.9990743398666382,https://p1.pxfuel.com/preview/712/245/166/polycarbonate-construction-layers-polygal.jpg
Polypropylene Bags (woven and unwoven),Regular Trash,Toy Boxes,Regular Trash,0.3066457211971283,https://c1.wallpaperflare.com/preview/39/263/687/box-bag-utility-carry-bag.jpg
Pool Covers,Private Disposal,Pool Covers,Private Disposal,0.9957019686698914,https://upload.wikimedia.org/wikipedia/commons/0/05/Swimming_pool_cover.jpg
Pool Pumps,Private Disposal,Pool Pumps,Private Disposal,0.999351441860199,https://p1.pxfuel.com/preview/202/904/23/water-pump-industrial-industry-pump.jpg
Power Strips,Regular Trash,Power Strips,Regular Trash,0.9191036224365234,https://upload.wikimedia.org/wikipedia/commons/6/67/Power_strip.JPG
Printer,Electronics Recycling,Printer,Electronics Recycling,0.9709762930870056,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Oxygen480-devices-printer-laser.svg/640px-Oxygen480-devices-printer-laser.svg.png
Produce Plastic Bags,Regular Trash,Produce Plastic Bags,Regular Trash,0.745466411113739,https://images.pexels.com/photos/3645504/pexels-photo-3645504.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2
PVC Pipes,Private Disposal,Mercury Thermometer,Hazardous Waste,0.37992361187934875,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/The_PVC_pipe_with.jpg/640px-The_PVC_pipe_with.jpg
Radios,Electronics Recycling,Stereos,Electronics Recycling,0.49869397282600403,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/04/Roberts-Revival-Petite-front-scaled.jpg
Rain Gutter (plastic),Private Disposal,Rain Gutter (metal),Private Disposal,0.5168617367744446,https://d1d81vmw1yvc7o.cloudfront.net/wp-content/uploads/sites/212/2018/04/25211038/gutterReplacement.jpg
Receipts,Regular Trash,Receipts,Regular Trash,0.9956920742988586,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/frreceipts_receipt_pay_shopping_0-image-kybct6jt.jpg?w=800&dpr=1&fit=default&crop=default&q=65&vib=3&con=3&usm=15&bg=F4F4F3&ixlib=js-2.2.1&s=ffc90993a6097b016cc9cec4510cd7cf
Reusable Water Bottles,Regular Trash,Reusable Water Bottles,Regular Trash,0.8842964172363281,https://c1.wallpaperflare.com/preview/974/562/369/department-of-environmental-quality-michigan-swag-great-lakes.jpg
Ribbons,Regular Trash,Bows,Regular Trash,0.3569449782371521,https://cdn.pixabay.com/photo/2023/06/25/11/21/ribbon-8087083_1280.jpg
Rigid Plastics,Regular Trash,Pencil Shavings,Regular Trash,0.3962315320968628,https://upload.wikimedia.org/wikipedia/commons/4/4f/Clean_Shredded_Rigid_Plastic.jpg
Rubber Bands,Regular Trash,Rubber Bands,Regular Trash,0.9700905680656433,https://images.pexels.com/photos/39675/rubber-bands-elastic-bands-office-supplies-stationery-39675.jpeg
Rubber Car Mat,Regular Trash,Rubber Car Mat,Regular Trash,0.9998894929885864,https://upload.wikimedia.org/wikipedia/commons/7/7e/Fitted-rubber-car-mats-image.jpg
Saran Wrap,Regular Trash,Plastic Food Wrap,Regular Trash,0.5258448123931885,https://upload.wikimedia.org/wikipedia/en/1/1e/Demonstration_of_wrapping_CDs_for_safety_test_of_infant_mattresses.jpg
Satellite Dishes,Electronics Recycling,Satellite Dishes,Electronics Recycling,0.9893342852592468,https://upload.wikimedia.org/wikipedia/commons/6/62/SatelliteDishes-5375.jpg
Scissors,Curbside Food Waste Collection,Scissors,Curbside Food Waste Collection,0.9999430179595947,https://upload.wikimedia.org/wikipedia/commons/7/76/Pair_of_scissors_with_black_handle%2C_2015-06-07.jpg
Shower Curtain (Plastic),Regular Trash,Shower Curtain (Plastic),Regular Trash,0.983038067817688,https://live.staticflickr.com/2392/2197003247_c526f860a7_b.jpg
Single Serve Yogurt Containers (plastic),Recycling,Yogurt Tubs,Recycling,0.3938453793525696,https://cdn.pixabay.com/photo/2019/03/29/05/07/yogurt-4088558_1280.png
Small Appliances,Electronics Recycling,Sewing Machine,Electronics Recycling,0.2862641513347626,https://c1.wallpaperflare.com/preview/648/248/4/iron-budget-laundry-jeans-thumbnail.jpg
Smoke Detector,Electronics Recycling,Smoke Detector,Electronics Recycling,0.8375828862190247,https://upload.wikimedia.org/wikipedia/commons/d/d9/Smoke_detector.JPG
Snow Blower,Private Disposal,Snow Blower,Private Disposal,0.934880793094635,https://upload.wikimedia.org/wikipedia/commons/9/9a/Honda_hs1136_snowblower.jpg
Sour Cream Tubs,Recycling,Sour Cream Tubs,Recycling,0.9711507558822632,https://upload.wikimedia.org/wikipedia/commons/7/73/Cr%C3%A8me_Sure_-_Sour_Cream.JPG
Spatula,Regular Trash,Spatula,Regular Trash,0.6769946217536926,https://upload.wikimedia.org/wikipedia/commons/c/cf/Nylon_spatula.jpg
Spray Starch,Hazardous Waste,Spray Starch,Hazardous Waste,0.9999982118606567,https://upload.wikimedia.org/wikipedia/commons/5/52/Eckerd_Spray_Starch_%2824544614703%29.jpg
Starbucks Cup (plastic),Recycling,Starbucks Cup (plastic),Recycling,0.7645987868309021,https://c1.wallpaperflare.com/preview/764/905/238/starbucks-drink-iced-coffee-take-away.jpg
Stereos,Electronics Recycling,Stereos,Electronics Recycling,0.859245777130127,https://images.pexels.com/photos/11162437/pexels-photo-11162437.jpeg
Straws,Regular Trash,Straws,Regular Trash,0.9945657253265381,https://upload.wikimedia.org/wikipedia/commons/c/c7/Eight_drinking_straws_%284273846588%29.jpg
Stroller,Regular Trash - Bulky Items,Stroller,Regular Trash - Bulky Items,0.9988136291503906,https://c.pxhere.com/photos/ec/e2/pram_stroller_toddler_family-549948.jpg!d
Styrofoam,Regular Trash,Cotton Balls,Regular Trash,0.9851697087287903,https://upload.wikimedia.org/wikipedia/commons/5/5a/Styrofoam_balls.jpg
Styrofoam Chips,Regular Trash,Styrofoam Chips,Regular Trash,0.7647861242294312,https://www.publicdomainpictures.net/pictures/310000/nahled/foam-peanuts-1569928850CCQ.jpg
Styrofoam Sheets,Regular Trash,Styrofoam Sheets,Regular Trash,0.7722529172897339,https://upload.wikimedia.org/wikipedia/commons/8/86/Polsterwatteplatten.JPG
Switches,Regular Trash,Switches,Regular Trash,0.8351694941520691,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/08/Cherry-MX-switches-1.jpg
Syringes,Private Disposal,Mercury Thermometer,Hazardous Waste,0.848558783531189,https://upload.wikimedia.org/wikipedia/commons/4/4a/Disposable_syringe_5ml_1.jpg
Tape Dispenser,Regular Trash,Tape Dispenser,Regular Trash,0.9999649524688721,https://upload.wikimedia.org/wikipedia/commons/f/f4/Paper_tape_table_dispenser-01.jpg
Tarp,Regular Trash,Tarp,Regular Trash,0.9996726512908936,https://upload.wikimedia.org/wikipedia/commons/b/b7/Pole_tarp_and_rope_shelter_4855.JPG
Tetra Paks,Regular Trash,Juice Cartons,Regular Trash,0.9161513447761536,https://upload.wikimedia.org/wikipedia/commons/6/61/Tetra_Pak_packaging_portfolio_I_medium_size.jpg
