,expected,output,output disposal,probability,url
Electronic Gaming Equipment,Electronics Recycling,Electronic Gaming Equipment,Electronics Recycling,0.938170850276947,https://c.pxhere.com/photos/cb/8c/video_games_xbox_one_pad_play_technology_video_joystick-663316.jpg!d
Electronic Amplifier,Regular Trash,Electronic Amplifier,Regular Trash,0.9157770872116089,https://pixnio.com/free-images/2021/09/25/2021-09-25-09-50-14.jpg
Engine Solvents,Hazardous Waste,Ammonia Cleaners,Hazardous Waste,0.6857737302780151,https://cdn2.picryl.com/photo/2020/09/21/bottles-of-newly-recycled-antifreeze-are-ready-for-1cd989-1024.jpg
Exercise Equipment,Private Disposal,Exercise Equipment,Private Disposal,0.9945303797721863,https://p1.pxfuel.com/preview/339/488/34/fitness-studio-fitness-sport-train-gym.jpg
Explosive Devices,Private Disposal,Electric Motors,Private Disposal,0.6205651760101318,https://cdn10.picryl.com/photo/2005/09/15/this-trip-wire-pipe-bomb-improvised-explosive-device-ied-simulator-used-to-1c186d-1024.jpg
Explosives,Private Disposal,Explosive Devices,Private Disposal,0.23034927248954773,https://cdn10.picryl.com/photo/1998/03/06/mk84-2000-pound-bombs-secured-to-weapons-carts-near-an-explosives-storage-bunker-f893b1-1024.jpg
Faucet,Private Disposal,Faucet,Private Disposal,0.9599695801734924,https://c1.peakpx.com/wallpaper/47/255/614/water-tap-background-clean-wallpaper-preview.jpg
File Cabinets,Regular Trash - Bulky Items,File Cabinets,Regular Trash - Bulky Items,0.9720296263694763,https://upload.wikimedia.org/wikipedia/commons/9/9d/File_Cabinet_.jpg
Fire Extinguishers,Regular Trash,Fire Extinguishers,Regular Trash,0.998569130897522,https://p1.pxfuel.com/preview/240/986/370/fire-extinguisher-wall-fire.jpg
Foosball Table,Regular Trash - Bulky Items,Foosball Table,Regular Trash - Bulky Items,0.9999301433563232,https://upload.wikimedia.org/wikipedia/commons/6/62/FAS_Foosball_table_1.jpg
Forks,Regular Trash,Forks,Regular Trash,0.914707601070404,https://p1.pxfuel.com/preview/1024/240/880/fork-utensils-kitchen-food.jpg
Furnace,Private Disposal,Furnace,Private Disposal,0.9434902667999268,https://upload.wikimedia.org/wikipedia/commons/7/76/Industrial_furnace.jpg
Garage Door Opener,Electronics Recycling,Remotes,Electronics Recycling,0.8148427605628967,https://upload.wikimedia.org/wikipedia/commons/1/14/Multi_Frequency_garage_door_remote_control_duplicator_Creasol_Multi.png
Gasoline,Hazardous Waste,Helium Tanks (no helium),Hazardous Waste,0.544422447681427,https://upload.wikimedia.org/wikipedia/commons/4/42/Portable_gasoline_containers.JPG
Grill,Regular Trash,Barbeques,Regular Trash - Bulky Items,0.506283164024353,https://cdn.pixabay.com/photo/2016/06/26/21/45/barbecue-1481416_1280.jpg
Hair Dryer,Electronics Recycling,Hair Dryer,Electronics Recycling,0.9998038411140442,https://upload.wikimedia.org/wikipedia/commons/1/11/Braun_hair_dryer.jpg
Hair Spray Cans (empty),Regular Trash,Hair,Regular Trash,0.8507834076881409,https://upload.wikimedia.org/wikipedia/commons/e/e6/Hair-Spray-Painting-6415.jpg
Hardcover Books,Reuse,Binders,Regular Trash,0.40369874238967896,https://images.pexels.com/photos/272980/pexels-photo-272980.jpeg
Helium Tanks (no helium),Hazardous Waste,Helium Tanks (no helium),Hazardous Waste,0.5640954375267029,https://upload.wikimedia.org/wikipedia/commons/9/97/2008-07-24_Bundle_of_compressed_gas_bottles.jpg
Hot Tubs,Private Disposal,Hot Tubs,Private Disposal,0.8547115325927734,https://p1.pxfuel.com/preview/408/779/771/bath-bathtub-bubble-indoor.jpg
Hutch,Regular Trash - Bulky Items,Cabinets,Private Disposal,0.47944870591163635,https://upload.wikimedia.org/wikipedia/commons/e/e5/1960s_Hutch_Dresser_-_highly_sought_after.jpg
Iron,Regular Trash,Plum,Curbside Food Waste Collection,0.27145805954933167,https://c.pxhere.com/photos/97/6c/close_up_clothes_iron_home_appliance-1158828.jpg!d
Ironing Board,Regular Trash,Ironing Board,Regular Trash,0.9999821186065674,https://upload.wikimedia.org/wikipedia/commons/f/fd/Buegelbrett_fcm.jpg
Kettle,Regular Trash,Kettle,Regular Trash,0.9613053202629089,https://upload.wikimedia.org/wikipedia/commons/6/69/Kettle%2C_spirit_%28AM_1995.129.9-5%29.jpg
Keys (metal),Reuse,Keys (metal),Reuse,0.9993245601654053,https://p1.pxfuel.com/preview/24/884/854/keys-bunch-white-metal.jpg
Kitchen Cabinets,Private Disposal,Kitchen Cabinets,Private Disposal,0.7950379252433777,https://images.pexels.com/photos/4682113/pexels-photo-4682113.jpeg
Knives,Regular Trash,Knives,Regular Trash,0.9996676445007324,https://upload.wikimedia.org/wikipedia/commons/6/61/Hunting_knives.jpg
Ladder,Regular Trash - Bulky Items,Ladder,Regular Trash - Bulky Items,0.9477550983428955,https://upload.wikimedia.org/wikipedia/commons/b/b2/Ladder_2.jpg
Lamps,Regular Trash,Lamps,Regular Trash,0.7515677213668823,https://upload.wikimedia.org/wikipedia/commons/2/2f/Lamp_with_a_lampshade_illuminated_by_sunlight.jpg
Light Bulbs,Regular Trash,Incandescent Light Bulbs,Regular Trash,0.767834484577179,https://upload.wikimedia.org/wikipedia/commons/8/85/Light-bulb-1.jpg
Light Fixtures,Regular Trash,Light Fixtures,Regular Trash,0.7814843058586121,https://c.pxhere.com/photos/dc/72/lighting_light_fixtures_ceilings_etc_lights-834600.jpg!d
License Plates,Regular Trash,License Plates,Regular Trash,0.9984530210494995,https://upload.wikimedia.org/wikipedia/commons/a/af/Massachusetts_2011_license_plate.png
Lock,Regular Trash,Lock,Regular Trash,0.9783458113670349,https://images.rawpixel.com/image_png_800/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvam9iNjgwLTA1Ny1wXzEtbDFkYnRrM3gucG5n.png?s=94z4b1Hhh2RHYvx7OTPU00HCL7UOk4DwReuoTIVfEHg
Magnets,Regular Trash,Steel,Private Disposal,0.1086474284529686,https://upload.wikimedia.org/wikipedia/commons/6/6f/Bar_magnet_crop.jpg
Metal,Private Disposal,Metal Pipes,Private Disposal,0.3938557207584381,https://upload.wikimedia.org/wikipedia/commons/1/1c/Alloy_and_metal_samples_-_Beryllium-Copper%2C_Inconel%2C_Steel%2C_Titanium%2C_Aluminum%2C_Magnesium.jpg
Metal Bottle Caps,Recycling,Metal Bottle Caps,Recycling,0.7318206429481506,https://c.pxhere.com/photos/cc/2d/bottle_tops_bottle_caps_top_cap_metallic_metal_circle_icon-1265411.jpg!d
Metal Can Lids,Recycling,Metal Can Lids,Recycling,0.7381900548934937,https://p1.pxfuel.com/preview/756/185/78/lids-metal-closure-glance.jpg
Metal Cans,Recycling,Metal Can Lids,Recycling,0.36299213767051697,https://p1.pxfuel.com/preview/11/153/186/tin-can-metal-canned.jpg
Metal Clothes Hangers,Regular Trash,Metal Clothes Hangers,Regular Trash,0.871527910232544,https://c1.wallpaperflare.com/preview/121/267/735/steel-stainless-steel-metallic-coat-hanger.jpg
Metal Oven Shelf,Regular Trash,Metal Oven Shelf,Regular Trash,0.9740023612976074,https://upload.wikimedia.org/wikipedia/commons/2/21/Empty_meat_shelf_%2849666176337%29.jpg
Metal Paint Cans (empty),Regular Trash,Tin Cans,Recycling,0.41846221685409546,https://c1.wallpaperflare.com/preview/582/313/97/cans-empty-cans-tin-cans-eat.jpg
Metal Pipes,Private Disposal,Metal Pipes,Private Disposal,0.9609508514404297,https://pixnio.com/free-images/textures-and-patterns/metal-texture/new-metal-round-pipes.jpg
Metal Tea Pots,Regular Trash,Kettle,Regular Trash,0.5903080701828003,https://upload.wikimedia.org/wikipedia/commons/b/bc/Tea_pot%2C_Downpatrick%2C_September_2010.JPG
Microwave Oven,Regular Trash,Microwave Oven,Regular Trash,0.9880951642990112,https://www.trustedreviews.com/wp-content/uploads/sites/54/2023/04/Samsung-Easy-View-Convection-Oven-with-Hotblast-Technology-MC28M6075CS-1.jpg
Oil Drum,Private Disposal,Oil Drum,Private Disposal,0.7240195274353027,https://c0.wallpaperflare.com/preview/599/643/595/barrel-biohazard-blue-cask.jpg
Oil Filters,Hazardous Waste,Oil Filters,Hazardous Waste,0.9305005669593811,https://upload.wikimedia.org/wikipedia/commons/3/3b/Comparison_of_new_and_old_motorcycle_oil_filters.jpg
Oven,Regular Trash - Bulky Items,Oven,Regular Trash - Bulky Items,0.5312637686729431,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/07/AEG-KMK968000M-9.jpg
Pan,Regular Trash,Pan,Regular Trash,0.24062997102737427,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/px918920-image-kwvut4pe.jpg?w=1200&h=1200&dpr=1&fit=clip&crop=default&fm=jpg&q=75&vib=3&con=3&usm=15&cs=srgb&bg=F4F4F3&ixlib=js-2.2.1&s=c2eed85e662b254d044c07c075f328a3
Paper Clips,Regular Trash,Paper Clips,Regular Trash,0.9957315325737,https://upload.wikimedia.org/wikipedia/commons/5/55/Colourful_assortment_of_paper_clips_%2810421946796%29.jpg
Patio Furniture (metal or wicker),Regular Trash - Bulky Items,Patio Furniture (metal or wicker),Regular Trash - Bulky Items,0.7099007368087769,https://p1.pxfuel.com/preview/814/470/475/garden-chairs-summer-outdoor.jpg
Picture Frame,Regular Trash,Picture Frame,Regular Trash,0.9979445338249207,https://cdn.pixabay.com/photo/2016/12/02/16/35/picture-frame-1878069_1280.jpg
Plumbing Fixtures,Private Disposal,Faucet,Private Disposal,0.6966033577919006,https://c.pxhere.com/photos/e1/6b/mixer_tap_tap_water_faucet_kitchen_stainless_steel_sink-946633.jpg!d
Pots and Pans,Regular Trash,Pan,Regular Trash,0.24062997102737427,https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/px918920-image-kwvut4pe.jpg?w=1200&h=1200&dpr=1&fit=clip&crop=default&fm=jpg&q=75&vib=3&con=3&usm=15&cs=srgb&bg=F4F4F3&ixlib=js-2.2.1&s=c2eed85e662b254d044c07c075f328a3
Propane Tanks,Hazardous Waste,Propane Tanks,Hazardous Waste,0.9364238977432251,https://upload.wikimedia.org/wikipedia/commons/f/fe/Propane_tank_20lb.jpg
Radiators,Regular Trash - Bulky Items,Radiators,Regular Trash - Bulky Items,0.9838643074035645,https://upload.wikimedia.org/wikipedia/commons/0/02/Household_radiator.jpg
Rain Gutter (metal),Private Disposal,Rain Gutter (metal),Private Disposal,0.7362525463104248,https://upload.wikimedia.org/wikipedia/commons/0/01/Gutter_1850s_House_New_Orleans.jpg
Range,Regular Trash - Bulky Items,Oven,Regular Trash - Bulky Items,0.9221194982528687,https://upload.wikimedia.org/wikipedia/commons/c/cc/Cosmo_Appliances_Gas_Range.jpg
Recliner,Regular Trash - Bulky Items,Recliner,Regular Trash - Bulky Items,0.6591830849647522,https://creazilla-store.fra1.digitaloceanspaces.com/cliparts/1995619/black-lazy-armchair-clipart-md.png
Refrigerator,Appointment Collection Item,Refrigerator,Appointment Collection Item,0.9840564727783203,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/US_Domestic_Refrigerator_-_Frigidaire.jpg/900px-US_Domestic_Refrigerator_-_Frigidaire.jpg?20191116200801
Rotary Tiller,Regular Trash,Rotary Tiller,Regular Trash,0.9996362924575806,https://upload.wikimedia.org/wikipedia/commons/3/33/Kuhn_EL201_-_rotavator_at_Bernard_Saunders_WD_2008_-_IMG_4072.jpg
Scissors,Curbside Food Waste Collection,Scissors,Curbside Food Waste Collection,0.9997226595878601,https://embed.widencdn.net/img/worldkitchen/2kdgdhwdyy/2048px/ZD_1143923_9in-Fabric-Scissors_Silo_Square_1_v2.png
Scrap Metal,Private Disposal,Car Parts,Private Disposal,0.543519914150238,https://s3-media0.fl.yelpcdn.com/bphoto/B8aU3zzWNuk7ZxaMdCo99A/348s.jpg
Screws,Regular Trash,Screws,Regular Trash,0.9513951539993286,https://upload.wikimedia.org/wikipedia/commons/f/f4/Wood_screws.jpg
Sewing Needles,Regular Trash,Mercury Thermometer,Hazardous Waste,0.9004026055335999,https://upload.wikimedia.org/wikipedia/commons/2/27/A_depiction_of_needle.JPG
Shopping Cart,Private Disposal,Shopping Cart,Private Disposal,0.999718964099884,https://p1.pxfuel.com/preview/641/952/981/cart-grocery-outdoor-trees.jpg
Silverware,Regular Trash,Cutlery,Regular Trash,0.6159943342208862,https://pixnio.com/free-images/2019/05/30/2019-05-30-16-03-27.jpg
Small Appliances,Electronics Recycling,Toaster,Electronics Recycling,0.5991645455360413,https://www.trustedreviews.com/wp-content/uploads/sites/54/2023/05/IMG_6358-scaled.jpg
Smoke Alarms,Electronics Recycling,Smoke Detector,Electronics Recycling,0.8375828862190247,https://upload.wikimedia.org/wikipedia/commons/d/d9/Smoke_detector.JPG
Soda Cans,Recycling,Soda Cans,Recycling,0.38105541467666626,https://images.pexels.com/photos/3008/drinks-supermarket-cans-beverage.jpg
Soft Drink Cans,Recycling,Soft Drink Cans,Recycling,0.5488202571868896,https://p1.pxfuel.com/preview/617/995/829/coca-cola-tin-soda-drink.jpg
SOS Pads,Regular Trash,Dryer Lint,Regular Trash,0.9472026824951172,https://upload.wikimedia.org/wikipedia/commons/c/c3/S.O.S_Soap_Pad.JPG
Space Heater,Regular Trash - Bulky Items,Space Heater,Regular Trash - Bulky Items,0.9614185690879822,https://www.trustedreviews.com/wp-content/uploads/sites/54/2023/01/Dreo-Solaris-Slim-H3-Space-Heater-hero.jpg
Spiral Cans,Recycling,Tin Cans,Recycling,0.41846221685409546,https://p1.pxfuel.com/preview/582/313/97/cans-empty-cans-tin-cans-eat.jpg
Spoons,Regular Trash,Spoons,Regular Trash,0.9682194590568542,https://upload.wikimedia.org/wikipedia/commons/f/f2/Apostle_spoons_six.jpg
Staples,Regular Trash,Office Supplies,Regular Trash,0.9118374586105347,https://upload.wikimedia.org/wikipedia/commons/e/ec/Copper_Staples_No_50%2C60.JPG
Steel,Private Disposal,Aluminum Foil,Recycling,0.8325754404067993,https://upload.wikimedia.org/wikipedia/commons/b/b2/Bar_square_steel.jpg
Steel Cans,Regular Trash,Spiral Cans,Recycling,0.8952953815460205,https://pixnio.com/free-images/objects/four-unlabeled-metal-cans-containing-unknown-foods.jpg
Steel Rod,Private Disposal,Steel Rod,Private Disposal,0.9443556070327759,https://c2.peakpx.com/wallpaper/308/43/594/steel-construction-steel-bar-rebar-wallpaper-preview.jpg
Stoves,Regular Trash - Bulky Items,Stoves,Regular Trash - Bulky Items,0.897609531879425,https://i2.pickpik.com/photos/599/64/916/gas-stove-gas-orange-kitchen-preview.jpg
Swing Sets (metal),Private Disposal,Swing Sets (metal),Private Disposal,0.984885573387146,https://upload.wikimedia.org/wikipedia/commons/b/b3/Swing_set%2C_Rostorpsplanen%2C_Malmo.jpg
Switches,Regular Trash,Tacks,Regular Trash,0.5697436332702637,https://c.pxhere.com/photos/f7/96/button_control_control_panel_switch_command_board_operate_operation-1005421.jpg!d
Tacks,Regular Trash,Sewing Needles,Regular Trash,0.4560078978538513,https://www.publicdomainpictures.net/pictures/30000/nahled/tacks.jpg
Tape Recorder,Regular Trash,Tape Recorder,Regular Trash,0.8390495777130127,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Vintage_Electra_Portable_4_Transistor_Reel-To-Reel_Tape_Recorder%2C_Model_TP-500%2C_Made_In_Japan%2C_Circa_1960s_%2815706532371%29.jpg/1600px-Vintage_Electra_Portable_4_Transistor_Reel-To-Reel_Tape_Recorder%2C_Model_TP-500%2C_Made_In_Japan%2C_Circa_1960s_%2815706532371%29.jpg?20151227193112
Tea Bags,Curbside Food Waste Collection,Tea Bags,Curbside Food Waste Collection,0.999514102935791,https://upload.wikimedia.org/wikipedia/commons/a/a4/Teabag_with_green_tag.jpg
Thermostat,Hazardous Waste,Thermostat,Hazardous Waste,0.9936544895172119,https://upload.wikimedia.org/wikipedia/commons/0/05/Nest_Diamond_Thermostat.jpg
Tin Cans,Recycling,Tin Cans,Recycling,0.22427977621555328,https://i0.hippopx.com/photos/606/451/758/cans-tin-gift-glance-preview.jpg
Toaster,Electronics Recycling,Toaster,Electronics Recycling,0.8943614959716797,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/09/Magimix_Vision_toaster_main-scaled.jpg
Tools,Regular Trash,Tools,Regular Trash,0.9925522804260254,https://p1.pxfuel.com/preview/808/191/800/tools-keys-tang-hammer-hang-neat.jpg
Trampoline Frame,Regular Trash - Bulky Items,Trampoline Frame,Regular Trash - Bulky Items,0.9629426002502441,https://www.freeimageslive.co.uk/files/images009/trampoline.preview.jpg
Vacuums,Regular Trash,Vacuums,Regular Trash,0.9676141738891602,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/07/Miele-CX1-Boost-1.jpg
Vintage Accessories,Regular Trash,Vintage Accessories,Regular Trash,0.9790952205657959,https://www.publicdomainpictures.net/pictures/500000/nahled/vintage-accessories-clipart-16802525017zn.png
Washing Machine,Regular Trash - Bulky Items,Washing Machine,Regular Trash - Bulky Items,0.9060898423194885,https://www.trustedreviews.com/wp-content/uploads/sites/54/2023/02/Samsung-WW90T684DLH-hero.jpg
Water Cooler,Appointment Collection Item,Water Cooler,Appointment Collection Item,0.8985996246337891,https://upload.wikimedia.org/wikipedia/commons/2/2e/Watercooler_Wikinews.jpg?20050303041530
Water Heater,Private Disposal,Water Heater,Private Disposal,0.9907659292221069,https://upload.wikimedia.org/wikipedia/commons/a/a9/Hot_water_heater_with_pipe.jpg
Wheelbarrow,Regular Trash - Bulky Items,Wheelbarrow,Regular Trash - Bulky Items,0.9434797763824463,https://upload.wikimedia.org/wikipedia/commons/1/1f/2008-07-15_Construction_wheelbarrow_at_Duke.jpg
Wine Bottle Caps (metal),Regular Trash,Oil Drum,Private Disposal,0.27518269419670105,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Wine_bottle_screwcap.JPG/896px-Wine_bottle_screwcap.JPG?20120411052552
Wiring,Private Disposal,Cables,Electronics Recycling,0.8924718499183655,https://docs.px4.io/main/assets/img/i2c_jst-gh_connector.4c9d8cdf.jpg
Whipped Cream Cans (empty),Recycling,Whipped Cream Cans (empty),Recycling,0.9423236846923828,https://upload.wikimedia.org/wikipedia/commons/4/43/Whipped_Lightning.jpg
