,expected,output,output disposal,probability,url
Flat Screen Televisions,Appointment Collection Item,Flat Screen Televisions,Appointment Collection Item,0.38163191080093384,https://upload.wikimedia.org/wikipedia/commons/0/0a/Wall-mounted_36_inch_flat_panel_Panasonic_TV.JPG
Flat Screen Televisions,Appointment Collection Item,Flat Screen Televisions,Appointment Collection Item,0.7554307579994202,https://upload.wikimedia.org/wikipedia/commons/0/02/Techwood_flat_screen_television_from_2010.jpg
Glass Bottles,Recycling,Glass Bottles,Recycling,0.885750949382782,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Clear_empty_glass_bottle.jpg/1600px-Clear_empty_glass_bottle.jpg?20160702144650
Glass Bottles,Recycling,Glass Bottles,Recycling,0.7754238843917847,https://images.pexels.com/photos/7191417/pexels-photo-7191417.jpeg
Glass Coffee Pots,Recycling,Glass Coffee Pots,Recycling,0.6468033194541931,https://p1.pxfuel.com/preview/971/790/468/speciality-coffee-coffee-single-origin-coffee-glass-barista-coffee-pot.jpg
Glass Coffee Pots,Recycling,Glass Coffee Pots,Recycling,0.6602185964584351,https://p0.pxfuel.com/preview/903/283/771/black-coffee-maker-bar-restaurant.jpg
Glass Drinking Glasses,Regular Trash,Glass Drinking Glasses,Regular Trash,0.8381012082099915,https://p1.pxfuel.com/preview/857/47/583/water-glass-drinking-glass-water-glasses-drinking-glasses.jpg
Glass Drinking Glasses,Regular Trash,Glass Drinking Glasses,Regular Trash,0.5945690274238586,https://upload.wikimedia.org/wikipedia/commons/d/d0/Drinking_glass_2368.JPG
Glass Jars (with lids),Recycling,Plastic Jars,Recycling,0.646721363067627,https://p0.pxfuel.com/preview/557/341/121/wide-mouth-glass-jars-120-ml.jpg
Glass Jars (with lids),Recycling,Glass Jars (with lids),Recycling,0.7868549823760986,https://i0.hippopx.com/photos/883/481/319/stock-glass-candy-glass-glass-jar-preview.jpg
Glass Pitchers,Regular Trash,Glass Pitchers,Regular Trash,0.9642484784126282,https://p1.pxfuel.com/preview/783/944/902/sklenene-water-glass-pitcher-morning.jpg
Glass Pitchers,Regular Trash,Glass Pitchers,Regular Trash,0.983565628528595,https://upload.wikimedia.org/wikipedia/commons/d/dc/Pitcher%2C_Saratoga_Mountain_Glass_Works%2C_c._1845-1860%2C_hand-blown_glass_with_applied_handle_-_Albany_Institute_of_History_and_Art_-_DSC08171.JPG
Glass Pitchers,Regular Trash,Glass Pitchers,Regular Trash,0.9230335354804993,https://p1.pxfuel.com/preview/101/404/2/pitcher-water-glass.jpg
Glass Shower Doors,Private Disposal,Glass Shower Doors,Private Disposal,0.9957754015922546,https://upload.wikimedia.org/wikipedia/commons/6/6b/Frameless_Glass_Doors.jpg
Glass Shower Doors,Private Disposal,Glass Shower Doors,Private Disposal,0.9975218176841736,https://c1.wallpaperflare.com/preview/739/317/223/shower-tile-bathroom-interior.jpg
Glass Stems,Recycling,Glass Stems,Recycling,0.6011267900466919,https://c1.peakpx.com/wallpaper/576/306/477/glass-broken-shot-reed-sharp-wallpaper-preview.jpg
Glass Stems,Recycling,Glass Stems,Recycling,0.9959067106246948,https://upload.wikimedia.org/wikipedia/commons/2/22/Twisted_stem_glass.JPG
Glass Tea Pots,Recycling,Glass Tea Pots,Recycling,0.9975797533988953,https://redblossomtea.com/cdn/shop/products/BlossomGlassPot_1_1024x1024.jpg?v=1597104832
Glass Tea Pots,Recycling,Glass Tea Pots,Recycling,0.9289005398750305,https://i2.pickpik.com/photos/155/768/989/tea-utensil-glass-jasmine-preview.jpg
Glass Vases,Regular Trash,Glass Vases,Regular Trash,0.6507970690727234,https://www.worldhistory.org/uploads/images/520.jpg
Glass Vases,Regular Trash,Glass Vases,Regular Trash,0.9878193140029907,https://p1.pxfuel.com/preview/8/687/693/various-glass.jpg
Glass Windows,Private Disposal,Glass Windows,Private Disposal,0.9320371150970459,https://p1.pxfuel.com/preview/653/27/673/dirty-glass-glass-panes-pattern.jpg
Glass Windows,Private Disposal,Glass Windows,Private Disposal,0.5541082620620728,https://p1.pxfuel.com/preview/426/738/539/sunlight-broken-window-broken-window.jpg
Lamps,Regular Trash,Lamps,Regular Trash,0.7823106050491333,https://cb.scene7.com/is/image/Crate/WestonMdCntryTableLampSSS23/$web_pdp_main_carousel_zoom_med$/221013092920/weston-black-mid-century-modern-table-lamp.jpg
Lamps,Regular Trash,Lamps,Regular Trash,0.955849826335907,https://upload.wikimedia.org/wikipedia/commons/4/43/WLA_nyhistorical_1910_desk_lamp.jpg
Light Bulbs,Regular Trash,Incandescent Light Bulbs,Regular Trash,0.7678344249725342,https://upload.wikimedia.org/wikipedia/commons/8/85/Light-bulb-1.jpg
Light Bulbs,Regular Trash,Fluorescent Light Bulbs,Hazardous Waste,0.5782290101051331,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Lightbulbs.jpg/1200px-Lightbulbs.jpg?20141107234217
Light Fixtures,Regular Trash,Light Fixtures,Regular Trash,0.7814843654632568,https://c.pxhere.com/photos/dc/72/lighting_light_fixtures_ceilings_etc_lights-834600.jpg!d
Light Fixtures,Regular Trash,Light Fixtures,Regular Trash,0.8649927377700806,https://c.pxhere.com/photos/06/59/beautiful_ceiling_lights_chandelier_decoration_decorative_modern-1576079.jpg!d
Light Fixtures,Regular Trash,Light Fixtures,Regular Trash,0.7791712880134583,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Ceiling_light_fixtures.jpg/675px-Ceiling_light_fixtures.jpg?20141116062134
Liquor Bottles,Recycling,Liquor Bottles,Recycling,0.9548309445381165,https://images.pexels.com/photos/340996/pexels-photo-340996.jpeg
Liquor Bottles,Recycling,Liquor Bottles,Recycling,0.7715750336647034,https://c.pxhere.com/photos/26/db/vodka_smirnoff_spirit_diageo_drink_alcohol_bottles_alcoholic-930016.jpg!d
Mason Jars (125 ml and 250 ml),Recycling,Plastic Jars,Recycling,0.646721363067627,https://p0.pxfuel.com/preview/557/341/121/wide-mouth-glass-jars-120-ml.jpg
Mason Jars (125 ml and 250 ml),Recycling,Glass Jars (with lids),Recycling,0.815780520439148,https://images.pexels.com/photos/106605/pexels-photo-106605.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2
Mirrors,Regular Trash,Mirrors,Regular Trash,0.7806076407432556,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Mirror_MET_141134.jpg/690px-Mirror_MET_141134.jpg?20170620193713
Mirrors,Regular Trash,Mirrors,Regular Trash,0.7076391577720642,https://upload.wikimedia.org/wikipedia/commons/9/9b/Mirror_MET_DP105758.jpg
Oven,Regular Trash - Bulky Items,Oven,Regular Trash - Bulky Items,0.9527810215950012,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/10/Miele-H2265-1-B-2.jpg
Oven,Regular Trash - Bulky Items,Oven,Regular Trash - Bulky Items,0.9257103800773621,https://upload.wikimedia.org/wikipedia/commons/4/4a/Bauknecht_kitchen_oven_%28brown%29.jpg
Plate,Regular Trash,Plate,Regular Trash,0.9349602460861206,https://upload.wikimedia.org/wikipedia/commons/f/ff/Cup_Plate_MET_DP236460.jpg
Plate,Regular Trash,Plate,Regular Trash,0.9424219727516174,https://live.staticflickr.com/7055/6801883316_5703c7b93e_b.jpg
Prescription Bottles,Regular Trash,Prescription Bottles,Regular Trash,0.3699380159378052,https://c.pxhere.com/photos/e3/ab/medicine_pills_medical_health_capsule_pharmacy_healthcare_medication-1278823.jpg!d
Prescription Bottles,Regular Trash,Used Needles and Syringes,Private Disposal,0.55485600233078,https://i1.pickpik.com/photos/463/474/488/medicine-vials-bottle-treatment-preview.jpg
Table,Regular Trash - Bulky Items,Table,Regular Trash - Bulky Items,0.8679198026657104,https://sethrolland.com/wp-content/uploads/2015/07/Clearwater-coffee-table.jpg
Table,Regular Trash - Bulky Items,Table,Regular Trash - Bulky Items,0.9114274978637695,https://upload.wikimedia.org/wikipedia/commons/0/0f/Lalique_glass_table_with_a_glass_bust_of_Beethoven.jpg
Tempered Glass,Regular Trash,Tempered Glass,Regular Trash,0.37356463074684143,https://c1.wallpaperflare.com/preview/868/808/886/glass-wall-scale-tempered-glass.jpg
Tempered Glass,Regular Trash,Tree Cuttings,Leaf and Yard Waste,0.14472758769989014,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Tempered_Glass_2.jpg/675px-Tempered_Glass_2.jpg?20120417234324
Turntable,Electronics Recycling,Turntable,Electronics Recycling,0.9732058048248291,https://www.trustedreviews.com/wp-content/uploads/sites/54/2021/09/Roksan-Attessa.jpg
Turntable,Electronics Recycling,Turntable,Electronics Recycling,0.9794541001319885,https://www.trustedreviews.com/wp-content/uploads/sites/54/2022/03/Pro-Ject-A1-turntable.jpg
VCRs,Electronics Recycling,VCRs,Electronics Recycling,0.5889228582382202,https://upload.wikimedia.org/wikipedia/commons/1/1d/Philips_VCR_system_recorder_%286498642683%29.jpg
VCRs,Electronics Recycling,DVD Player,Electronics Recycling,0.30847370624542236,https://upload.wikimedia.org/wikipedia/commons/d/da/VCR_Panasonic_Stereo_PV-V4520_%281%29.jpg
Vintage Accessories,Regular Trash,Vintage Accessories,Regular Trash,0.9790952205657959,https://www.publicdomainpictures.net/pictures/500000/nahled/vintage-accessories-clipart-16802525017zn.png
Vintage Accessories,Regular Trash,Clocks,Regular Trash,0.8467355370521545,https://c.pxhere.com/photos/fe/7c/antique_classic_clock_countdown_deadline_glass_hourglass_indoors-1558069.jpg!d
Vintage Jewelery,Regular Trash,Peach,Curbside Food Waste Collection,0.47978779673576355,https://www.publicdomainpictures.net/pictures/370000/nahled/pearl-necklace-for-woman-1597474319ktu.jpg
Vintage Jewelery,Regular Trash,Vintage Jewelery,Regular Trash,0.6907951235771179,https://upload.wikimedia.org/wikipedia/commons/4/42/Ian_Rosenberg_Jeweller_-_Turquoise_and_green_glass_necklace.JPG
Water Cooler,Appointment Collection Item,Water Cooler,Appointment Collection Item,0.8986061811447144,https://upload.wikimedia.org/wikipedia/commons/2/2e/Watercooler_Wikinews.jpg
Wine Bottles,Recycling,Bleaches,Hazardous Waste,0.42652201652526855,https://p1.pxfuel.com/preview/900/1013/188/wine-wine-bottles-alcohol-drink-winery-product.jpg
Wine Bottles,Recycling,Wine Bottles,Recycling,0.6051432490348816,https://i0.hippopx.com/photos/176/542/325/wine-bottles-labels-glass-empty-preview.jpg
Wine Bottles,Recycling,Shampoo Bottle,Recycling,0.49030008912086487,https://upload.wikimedia.org/wikipedia/en/6/6f/Paper_strip_under_wine_bottle_foil.jpg
